Region,Codigoregion,Casosnuevos,CasosTotales,%Total,Fallecidos
Arica y Parinacota,15,5 ,12 ,0% ,O 
Tarapacá,01,1 ,13 ,0% ,O 
Antofagasta,02,7 ,54 ,1% ,O 
Atacama,03,2 ,5 ,0% ,O 
Coquimbo,04,1 ,35 ,1% ,O 
Valparaíso,05,20 ,176 ,5% ,1 
Metropolitana,13,106 ,1.742 ,47% ,8 
O’Higgins,06,1 ,33 ,1% ,O 
Maule,07,7 ,89 ,2% ,1 
Ñuble,16,29 ,370 ,10% ,1 
Biobío,08,27 ,302 ,8% ,2 
Araucanía,09,43 ,432 ,12% ,7 
Los Ríos,14,10 ,78 ,2% ,1 
Los Lagos,10,31 ,234 ,6% ,O 
Aysén,11,1 ,6 ,0% ,O 
Magallanes,12,42 ,156 ,4% ,1 
Total,,333 ,3.737 ,100% ,22 
