,,,,,,,,,,Numero,deCasos,Nuevos,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE 9 (23 al 29 de febrero) ,SE 10 (1 al 7 de marzo) ,SE 11 (8 al 14 de marzo) ,SE 12 (15 al 21 de marzo ,SE 13 (22 al 28 de marzo) ,SE 14 (29 de marzo al 4 de abril ,SE 15 (4 de abril al 11 de abril) 
Alhue ,7.405 ,0 ,"0,0 ",O ,"0,0 ",O ,"0,0 ",0 ,O ,O ,O ,O ,0 ,0 
Buin ,109.641 ,36 ,"32,8 ",15 ,"13,7 ",15 ,"13,7 ",O ,O ,O ,3 ,18 ,9 ,6 
Calera de Tango ,28.525 ,10 ,"35,1 ",1 ,"3,5 ",1 ,"3,5 ",0 ,O ,O ,4 ,5 ,1 ,O 
Cerrillos ,88.956 ,29 ,"32,6 ",14 ,"15,7 ",13 ,"14,6 ",0 ,1 ,2 ,4 ,8 ,8 ,6 
Cerro Navia ,142.465 ,57 ,"40,0 ",27 ,"19,0 ",26 ,"18,3 ",0 ,O ,8 ,12 ,10 ,11 ,16 
Colina ,180.353 ,74 ,"41,0 ",20 ,"11,1 ",20 ,"11,1 ",O ,3 ,6 ,29 ,16 ,16 ,4 
Conchali ,139.195 ,52 ,"37,4 ",25 ,"18,0 ",24 ,"17,2 ",0 ,O ,1 ,14 ,12 ,14 ,11 
Curacavi ,36.430 ,13 ,"35,7 ",6 ,"16,5 ",6 ,"16,5 ",0 ,O ,1 ,2 ,4 ,4 ,2 
Bosque ,172.000 ,83 ,"48,3 ",48 ,"27,9 ",47 ,"27,3 ",O ,O ,2 ,13 ,20 ,24 ,24 
EI Monte ,40.014 ,10 ,"25,0 ",8 ,"20,0 ",8 ,"20,0 ",0 ,O ,O ,1 ,1 ,6 ,2 
Estacion Central ,206.792 ,71 ,"34,3 ",34 ,"16,4 ",34 ,"16,4 ",0 ,1 ,2 ,11 ,23 ,23 ,11 
Huechuraba ,112.528 ,48 ,"42,7 ",19 ,"16,9 ",19 ,"16,9 ",0 ,O ,4 ,18 ,7 ,14 ,5 
Independencia ,142.065 ,52 ,"36,6 ",28 ,"19,7 ",27 ,"19,0 ",0 ,O ,3 ,13 ,8 ,18 ,10 
Isla de Maipo ,40.171 ,10 ,"24,9 ",7 ,"17,4 ",7 ,"17,4 ",O ,O ,O ,2 ,1 ,6 ,1 
La Cisterna ,100.434 ,39 ,"38,8 ",21 ,"20,9 ",21 ,"20,9 ",0 ,1 ,O ,10 ,7 ,11 ,10 
La Florida ,402.433 ,165 ,"41,0 ",73 ,"18,1 ",72 ,"17,9 ",0 ,2 ,12 ,27 ,51 ,44 ,29 
La Granja ,122.557 ,46 ,"37,5 ",26 ,"21,2 ",26 ,"21,2 ",0 ,O ,1 ,6 ,13 ,17 ,9 
La Pintana ,189.335 ,55 ,"29,0 ",34 ,"18,0 ",34 ,"18,0 ",0 ,O ,2 ,6 ,13 ,21 ,13 
La Reina ,100.252 ,54 ,"53,9 ",16 ,"16,0 ",15 ,"15,0 ",1 ,O ,12 ,14 ,11 ,13 ,3 
