Lampa,126898,37,29.2,18,14.2,18,14.2,0,O,0,8,11,12,6
Las Condes ,330759 ,296 ,89.5 ,48 ,14.5 ,47 ,14.2 ,0 ,6 ,58 ,120 ,64 ,31 ,17 
Lo Barnechea ,124076 ,116 ,93.5 ,24 ,19.3 ,23 ,18.5 ,0 ,2 ,14 ,51 ,25 ,17 ,7 
Lo Espejo ,103865 ,48 ,46.2 ,37 ,35.6 ,37 ,35.6 ,0 ,O ,1 ,4 ,6 ,24 ,13 
Lo Prado ,104403 ,43 ,41.2 ,19 ,18.2 ,18 ,17.2 ,0 ,O ,2 ,4 ,18 ,12 ,7 
Macul ,134635 ,49 ,36.4 ,15 ,11.1 ,15 ,11.1 ,0 ,1 ,3 ,11 ,19 ,12 ,3 
Maipu ,578605 ,203 ,35.1 ,84 ,14.5 ,81 ,14.0 ,O ,O ,12 ,45 ,62 ,64 ,20 
Maria Pinto ,14926 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,O ,0 
Melipilla ,141612 ,17 ,12.0 ,5 ,3.5 ,5 ,3.5 ,0 ,1 ,1 ,4 ,6 ,4 ,1 
Nunoa ,250192 ,171 ,68.3 ,62 ,24.8 ,60 ,24.0 ,1 ,0 ,25 ,48 ,35 ,35 ,27 
Padre Hurtado ,74188 ,26 ,35.0 ,11 ,14.8 ,11 ,14.8 ,0 ,1 ,O ,5 ,9 ,5 ,6 
Paine ,82766 ,8 ,9.7 ,5 ,6.0 ,5 ,6.0 ,0 ,1 ,O ,2 ,O ,4 ,1 
Pedro Aguirre Cerda ,107803 ,54 ,50.1 ,35 ,32.5 ,34 ,31.5 ,O ,O ,2 ,4 ,13 ,13 ,22 
Penaflor ,101058 ,25 ,24.7 ,9 ,8.9 ,9 ,8.9 ,O ,1 ,4 ,3 ,8 ,4 ,5 
Penalolen ,266798 ,131 ,49.1 ,63 ,23.6 ,61 ,22.9 ,0 ,2 ,9 ,25 ,32 ,33 ,30 
Pirque ,30433 ,10 ,32.9 ,5 ,16.4 ,5 ,16.4 ,0 ,O ,1 ,2 ,2 ,1 ,4 
Providencia ,157749 ,136 ,86.2 ,28 ,17.7 ,27 ,17.1 ,0 ,3 ,28 ,59 ,18 ,21 ,7 
Pudahuel ,253139 ,78 ,30.8 ,39 ,15.4 ,39 ,15.4 ,1 ,1 ,1 ,18 ,18 ,24 ,15 
Puente Alto ,645909 ,322 ,49.9 ,186 ,28.8 ,179 ,27.7 ,0 ,O ,7 ,48 ,81 ,123 ,63 
Quilicura ,254694 ,94 ,36.9 ,49 ,19.2 ,49 ,19.2 ,0 ,2 ,3 ,16 ,24 ,34 ,15 
Quinta Normal ,136368 ,84 ,61.6 ,45 ,33.0 ,45 ,33.0 ,0 ,2 ,4 ,12 ,21 ,32 ,13 
Recoleta ,190075 ,73 ,38.4 ,39 ,20.5 ,39 ,20.5 ,0 ,O ,5 ,14 ,15 ,23 ,16 
Renca ,160847 ,42 ,26.1 ,21 ,13.1 ,20 ,12.4 ,0 ,O ,4 ,7 ,10 ,6 ,15 
San Bernardo ,334836 ,140 ,41.8 ,81 ,24.2 ,81 ,24.2 ,1 ,1 ,6 ,20 ,31 ,52 ,29 
San Joaquin ,103485 ,58 ,56.0 ,24 ,23.2 ,24 ,23.2 ,0 ,O ,O ,13 ,21 ,13 ,11 
San Jose de Maipo ,18644 ,4 ,21.5 ,1 ,5.4 ,1 ,5.4 ,O ,O ,1 ,1 ,1 ,O ,1 
