Paredones,6349,O,0.0,O,0.0,O,0.0,O,O,0,O,0,0,0
Peralillo ,11848 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,0 ,O ,0 ,0 ,0 ,O 
Peumo ,14952 ,1 ,6.7 ,O ,0.0 ,O ,0.0 ,O ,O ,O ,O ,1 ,0 ,O 
Pichidegua ,20743 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,O ,O ,O ,O ,0 ,O 
Pichilemu ,17882 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O ,O ,O ,O ,0 ,0 ,O 
Placilla ,9164 ,1 ,10.9 ,0 ,0.0 ,0 ,0.0 ,O ,0 ,O ,O ,1 ,0 ,O 
Pumanque ,3531 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O ,O ,O ,O ,O ,0 ,O 
Quinta de Tilcoco ,13877 ,3 ,21.6 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,0 ,1 ,2 ,0 ,O 
Rancagua ,265211 ,15 ,5.7 ,3 ,1.1 ,3 ,1.1 ,0 ,O ,0 ,8 ,4 ,3 ,O 
Rengo ,63710 ,1 ,1.6 ,0 ,0.0 ,O ,0.0 ,O ,O ,O ,1 ,0 ,0 ,O 
Requinoa ,30371 ,1 ,3.3 ,0 ,0.0 ,O ,0.0 ,O ,O ,O ,1 ,O ,0 ,O 
San Fernando ,78642 ,4 ,5.1 ,1 ,1.3 ,1 ,1.3 ,0 ,O ,O ,2 ,1 ,1 ,O 
San Vicente ,50617 ,4 ,7.9 ,1 ,2.0 ,1 ,2.0 ,O ,O ,O ,O ,3 ,1 ,O 
Santa Cruz ,41096 ,2 ,4.9 ,1 ,2.4 ,1 ,2.4 ,O ,O ,O ,O ,1 ,1 ,O 
Total ,991063 ,48 ,4.8 ,9 ,0.9 ,9 ,0.9 ,0 ,0 ,1 ,19 ,19 ,8 ,1 
