Romeral,16170,3,18.6,0,0.0,0,0.0,O,0,0,1,2,0,O
Sagrada Familia ,19469 ,1 ,5.1 ,1 ,5.1 ,1 ,5.1 ,O ,0 ,0 ,0 ,0 ,1 ,0 
San Clemente ,46292 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O ,0 ,0 ,0 ,O ,O ,O 
San Javier ,49451 ,8 ,16.2 ,6 ,12.1 ,6 ,12.1 ,O ,0 ,0 ,0 ,2 ,6 ,O 
San Rafae ,9959 ,2 ,20.1 ,1 ,10.0 ,1 ,10.0 ,O ,0 ,0 ,0 ,1 ,O ,1 
Talca ,236724 ,51 ,21.5 ,7 ,3.0 ,7 ,3.0 ,O ,3 ,9 ,13 ,19 ,7 ,O 
Teno ,30850 ,1 ,3.2 ,1 ,3.2 ,1 ,3.2 ,O ,0 ,O ,0 ,O ,O ,1 
Vichuquen ,4381 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,0 ,0 ,0 ,O ,O ,0 
Villa Alegre ,17512 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,0 ,O ,O ,O ,O 
Yerbas Buenas ,19200 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O ,O ,0 ,0 ,O ,O ,O 
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
