Region,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos,SE9(23al29defebrero),SE10(1al7demarzo),NumeroSE11(8al14demarzo),deCasosSE12(15al21demarzo),NuevosSE13(22al28demarzo),SE14(29demarzoal4deabril),SE15(4deabrilal11deabril)
Angol ,56.058 ,28 ,"49,9 ",13 ,"23,2 ",12 ,"21,4 ",O ,O ,1 ,3 ,11 ,8 ,5 
Carahue ,25.486 ,18 ,"70,6 ",14 ,"54,9 ",14 ,"54,9 ",0 ,O ,O ,1 ,3 ,9 ,5 
Cholchol ,12.341 ,4 ,"32,4 ",O ,"0,0 ",O ,"0,0 ",0 ,O ,0 ,1 ,3 ,0 ,0 
Collipulli ,26.148 ,1 ,"3,8 ",1 ,"3,8 ",1 ,"3,8 ",O ,0 ,0 ,O ,0 ,1 ,O 
Cunco ,18.055 ,5 ,"27,7 ",2 ,"11,1 ",1 ,"5,5 ",0 ,O ,0 ,0 ,3 ,2 ,O 
Curacautin ,18.178 ,5 ,"27,5 ",3 ,"16,5 ",3 ,"16,5 ",0 ,O ,0 ,2 ,0 ,3 ,O 
Curarrehue ,7.802 ,4 ,"51,3 ",0 ,"0,0 ",0 ,"0,0 ",0 ,O ,1 ,1 ,2 ,O ,O 
Ercilla ,8.458 ,3 ,"35,5 ",3 ,"35,5 ",3 ,"35,5 ",0 ,O ,O ,O ,O ,3 ,0 
Freire ,25.446 ,5 ,"19,6 ",O ,"0,0 ",0 ,"0,0 ",O ,O ,0 ,2 ,3 ,0 ,0 
Galvarino ,12.633 ,2 ,"15,8 ",1 ,"7,9 ",1 ,"7,9 ",O ,O ,O ,O ,1 ,1 ,O 
Gorbea ,15.148 ,10 ,"66,0 ",1 ,"6,6 ",1 ,"6,6 ",0 ,O ,1 ,4 ,4 ,1 ,O 
Lautaro ,40.746 ,22 ,"54,0 ",13 ,"31,9 ",13 ,"31,9 ",1 ,0 ,O ,4 ,4 ,13 ,0 
Loncoche ,24.739 ,6 ,"24,3 ",4 ,"16,2 ",4 ,"16,2 ",0 ,O ,0 ,2 ,1 ,2 ,2 
Lonquimay ,11.049 ,O ,"0,0 ",O ,"0,0 ",0 ,"0,0 ",0 ,O ,O ,O ,0 ,O ,O 
Los Sauces ,7.517 ,0 ,"0,0 ",0 ,"0,0 ",0 ,"0,0 ",0 ,0 ,0 ,0 ,0 ,0 ,0 
Lumaco ,10.050 ,0 ,"0,0 ",0 ,"0,0 ",O ,"0,0 ",0 ,0 ,0 ,0 ,0 ,0 ,0 
Melipeuco ,6.265 ,O ,"0,0 ",O ,"0,0 ",O ,"0,0 ",0 ,O ,O ,O ,O ,0 ,O 
Nueva Imperial ,33.777 ,25 ,74 ,9 ,"26,6 ",8 ,"23,7 ",0 ,0 ,0 ,6 ,10 ,6 ,3 
Padre Las Casas ,82.110 ,49 ,"59,7 ",20 ,"24,4 ",19 ,"23,1 ",O ,O ,O ,10 ,19 ,9 ,11 
Perquenco ,7.223 ,3 ,"41,5 ",1 ,"13,8 ",1 ,"13,8 ",O ,O ,O ,1 ,1 ,1 ,0 
