Pitrufquen,26096,16,61.3,4,15.3,4,15.3,0,0,1,4,7,4,0
Pucon ,29782 ,5 ,16.8 ,1 ,3.4 ,1 ,3.4 ,0 ,0 ,1 ,3 ,0 ,1 ,0 
Puren ,12188 ,2 ,16.4 ,O ,0.0 ,O ,0.0 ,0 ,O ,O ,O ,2 ,0 ,0 
Renaico ,10833 ,2 ,18.5 ,1 ,9.2 ,1 ,9.2 ,O ,O ,O ,O ,1 ,1 ,0 
Saavedra ,12793 ,1 ,7.8 ,O ,0.0 ,O ,0.0 ,O ,O ,O ,O ,O ,0 ,O 
Temuco ,302931 ,471 ,155.5 ,159 ,52.5 ,150 ,49.5 ,0 ,3 ,24 ,137 ,148 ,124 ,35 
Teodoro Schmidt ,15786 ,5 ,31.7 ,1 ,6.3 ,1 ,6.3 ,O ,O ,O ,2 ,2 ,0 ,1 
Tolten ,10055 ,7 ,69.6 ,3 ,29.8 ,3 ,29.8 ,0 ,0 ,0 ,3 ,1 ,2 ,1 
Traiguen ,19314 ,2 ,10.4 ,2 ,10.4 ,2 ,10.4 ,O ,O ,0 ,0 ,O ,2 ,0 
Victoria ,35467 ,15 ,42.3 ,6 ,16.9 ,6 ,16.9 ,0 ,O ,O ,2 ,7 ,4 ,2 
Vilcun ,30766 ,24 ,78.0 ,10 ,32.5 ,10 ,32.5 ,0 ,O ,0 ,5 ,9 ,10 ,0 
Villarrica ,59103 ,18 ,30.5 ,5 ,8.5 ,5 ,8.5 ,O ,O ,0 ,2 ,11 ,4 ,1 
Por determinar ,- ,37 ,- ,37 ,- ,37 ,- ,O ,O ,O ,O ,O ,0 ,37 
Total ,1014343 ,795 ,78.4 ,314 ,31.0 ,301 ,29.7 ,1 ,3 ,29 ,195 ,253 ,211 ,103 
