Region,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos,SE9(23al29defebrero),SE10(1al7demarzo),SE11(8al14demarzo),SE12(15al21demarzo),SE13(22al28demarzo),SE14(29demarzoal4deabril,SE15(4deabrilal11deabril)
Ancud ,42458 ,3 ,7.1 ,3 ,7.1 ,3 ,7.1 ,O ,O ,O ,0 ,O ,0 ,3 
Calbuco ,36744 ,7 ,19.1 ,2 ,5.4 ,2 ,5.4 ,O ,O ,1 ,3 ,1 ,2 ,O 
Castro ,47607 ,7 ,14.7 ,5 ,10.5 ,5 ,10.5 ,O ,O ,O ,2 ,O ,5 ,O 
Chaiten ,5020 ,1 ,19.9 ,O ,0.0 ,O ,0.0 ,O ,O ,O ,O ,1 ,O ,0 
Chonchi ,16013 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,O ,O ,O ,0 ,O ,0 
Cochamo ,4006 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O ,O ,O ,O ,O ,O ,O 
Curaco de Velez ,4066 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,O ,O ,O ,O ,O ,0 
Dalcahue ,15069 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,O ,O ,O ,O ,O ,O 
Fresia ,12656 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O ,O ,0 ,0 ,O ,0 ,O 
Frutillar ,20223 ,5 ,24.7 ,4 ,19.8 ,4 ,19.8 ,0 ,O ,O ,O ,1 ,3 ,1 
Futaleufu ,2806 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O ,O ,O ,O ,O ,O ,0 
Hualaihue ,9525 ,3 ,31.5 ,0 ,0.0 ,O ,0.0 ,O ,O ,0 ,O ,3 ,O ,O 
Llanquihue ,18621 ,3 ,16.1 ,1 ,5.4 ,1 ,5.4 ,O ,O ,1 ,O ,1 ,1 ,O 
Los Muermos ,17817 ,1 ,5.6 ,0 ,0.0 ,O ,0.0 ,O ,O ,O ,1 ,0 ,O ,O 
Maullin ,14894 ,1 ,6.7 ,1 ,6.7 ,1 ,6.7 ,O ,O ,O ,0 ,0 ,O ,1 
Osorno ,173410 ,232 ,133.8 ,67 ,38.6 ,63 ,36.3 ,0 ,0 ,3 ,56 ,106 ,51 ,16 
Palena ,1827 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,O ,O ,O ,O ,0 ,0 
Puerto Montt ,269398 ,68 ,25.2 ,11 ,4.1 ,11 ,4.1 ,0 ,1 ,11 ,25 ,20 ,11 ,0 
Puerto Octay ,9192 ,1 ,10.9 ,0 ,0.0 ,O ,0.0 ,O ,O ,O ,1 ,O ,0 ,0 
