Panquehue,7.633,0,"0,0",O,"0,0",0,"0,0",O,0,0,0,O,0,0
Papudo ,6.201 ,0 ,"0,0 ",0 ,"16,1 ",0 ,"16,1 ",0 ,0 ,0 ,0 ,0 ,0 ,O 
Petorca ,10.558 ,6 ,"56,8 ",1 ,"0,0 ",1 ,"0,0 ",O ,0 ,0 ,1 ,4 ,1 ,O 
Puchuncavi ,20.071 ,0 ,"0,0 ",O ,"0,0 ",0 ,"0,0 ",O ,O ,0 ,0 ,O ,O ,O 
Putaendo ,17.645 ,1 ,"5,7 ",0 ,"28,3 ",0 ,"28,3 ",O ,O ,0 ,1 ,O ,O ,O 
Quillota ,97.572 ,16 ,"16,4 ",5 ,"7,2 ",5 ,"7,2 ",O ,1 ,0 ,2 ,8 ,3 ,2 
Quilpue ,167.085 ,20 ,12 ,7 ,"0,0 ",7 ,"0,0 ",O ,1 ,2 ,2 ,8 ,7 ,O 
Quintero ,36.135 ,5 ,"13,8 ",0 ,"5,5 ",0 ,"5,5 ",0 ,0 ,0 ,3 ,2 ,0 ,0 
Rinconada ,11.263 ,2 ,"17,8 ",2 ,"97,7 ",2 ,"88,8 ",0 ,0 ,0 ,O ,O ,O ,2 
San Antonio ,96.761 ,17 ,"17,6 ",11 ,"0,0 ",10 ,"0,0 ",O ,O ,0 ,1 ,5 ,10 ,1 
San Esteban ,20.643 ,0 ,"0,0 ",O ,"4,8 ",0 ,"4,8 ",O ,0 ,0 ,0 ,O ,0 ,O 
San Felipe ,83.494 ,6 ,"7,2 ",1 ,"0,0 ",1 ,"0,0 ",0 ,0 ,O ,3 ,2 ,1 ,O 
Santa Maria ,16.367 ,2 ,"12,2 ",O ,"12,2 ",0 ,"12,2 ",O ,0 ,O ,O ,2 ,O ,O 
Santo Domingo ,11.934 ,5 ,"41,9 ",2 ,"125,7 ",2 ,"125,7 ",O ,O ,2 ,1 ,O ,2 ,O 
Valparaiso ,315.732 ,44 ,"13,9 ",15 ,"0,3 ",15 ,"0,3 ",O ,1 ,2 ,10 ,16 ,12 ,3 
Villa Alemana ,139.310 ,12 ,"8,6 ",1 ,"11,5 ",1 ,"10,8 ",O ,0 ,1 ,7 ,3 ,1 ,O 
Vina del Mar ,361.371 ,72 ,"19,9 ",16 ,"0,0 ",15 ,"0,0 ",O ,O ,7 ,21 ,28 ,16 ,O 
Zapallar ,7.994 ,O ,"0,0 ",0 ,,0 ,- ,O ,0 ,0 ,0 ,O ,O ,O 
Total ,1.960.170 ,273 ,"13,9 ",88 ,"4,5 ",86 ,"4,4 ",0 ,4 ,15 ,67 ,99 ,74 ,14 
