Comuna,No,Poblacion,Tasa
Algarrobo ,7 ,15174 ,46.1 
Cabildo ,- ,20663 ,0.0 
Calera ,6 ,53591 ,11.2 
Calle Larga ,- ,16482 ,0.0 
Cartagena ,- ,25357 ,0.0 
Casablanca ,- ,29170 ,3.4 
Catemu ,- ,15213 ,0.0 
Concon ,- ,45889 ,2.2 
EI Quisco ,- ,17742 ,0.0 
EI Tabo ,- ,14338 ,7.0 
Hijuelas ,- ,19099 ,0.0 
Isla de Pascua ,- ,8277 ,12.1 
Juan Fernandez ,- ,1033 ,0.0 
La Cruz ,- ,25321 ,0.0 
La Ligua ,- ,37739 ,5.3 
Limache ,- ,49931 ,4.0 
Llaillay ,- ,26533 ,0.0 
Los Andes ,- ,68093 ,2.9 
Nogales ,- ,23490 ,0.0 
Olmue ,- ,19266 ,0.0 
Panquehue ,- ,7633 ,0.0 
Papudo ,- ,6201 ,0.0 
Petorca ,- ,10558 ,0.0 
Puchuncavi ,- ,20071 ,0.0 
Putaendo ,- ,17645 ,5.7 
Quillota ,6 ,97572 ,6.1 
Quilpue ,11 ,167085 ,6.6 
Quintero ,- ,36135 ,8.3 
Rinconada ,- ,11263 ,0.0 
San Antonio ,- ,96761 ,2.1 
San Esteban ,- ,20643 ,0.0 
San Felipe ,- ,83494 ,3.6 
Santa Maria ,- ,16367 ,0.0 
Santo Domingo ,- ,11934 ,16.8 
Valparaiso ,16 ,315732 ,5.1 
Villa Alemana ,6 ,139310 ,4.3 
Vina del Mar ,29 ,361371 ,8.0 
Zapallar ,- ,7994 ,0.0 
Total ,102 ,1960170 ,5.2 
