Pudahuel,25,253139,9.9
Puente Alto ,58 ,645909 ,9.0 
Quilicura ,29 ,254694 ,11.4 
Quinta Normal ,25 ,136368 ,18.3 
Recoleta ,23 ,190075 ,12.1 
Renca ,14 ,160847 ,8.7 
San Bernardo ,41 ,334836 ,12.2 
San Joaquin ,24 ,103485 ,23.2 
San Jose de Maipo ,- ,18644 ,10.7 
San Miguel ,32 ,133059 ,24.0 
San Pedro ,- ,11953 ,0.0 
San Ramon ,6 ,86510 ,6.9 
Santiago ,156 ,503147 ,31.0 
Talagante ,5 ,81838 ,6.1 
Tiltil ,- ,21477 ,9.3 
Vitacura ,90 ,96774 ,93.0 
Por determinar ,27 ,,
Total ,1521 ,8125072 ,18.7 
