,,Nocasos,
Region ,Poblacion ,Confirmados ,Tasa incidencia 
Arica y Parinacota ,252110 ,6 ,"2,4 "
Tarapaca ,382773 ,10 ,"2,6 "
Antofagasta ,691854 ,39 ,"5,6 "
Atacama ,314709 ,3 ,"1,0 "
Coquimbo ,836096 ,30 ,"3,6 "
Valparaiso ,1960170 ,136 ,"6,9 "
Metropolitana ,8125072 ,1521 ,"18,7 "
O'Higgins ,991063 ,26 ,"2,6 "
Maule ,1131939 ,71 ,"6,3 "
Nuble ,511551 ,259 ,"50,6 "
Biobio ,1663696 ,240 ,"14,4 "
Araucania ,1014343 ,343 ,"33,8 "
LOs Rios ,405835 ,64 ,"15,8 "
Los Lagos ,891440 ,181 ,"20,3 "
Aisen ,107297 ,3 ,"2,8 "
Magallanes ,178362 ,99 ,"55,5 "
Total pais ,19458310 ,3031 ,"15,6 "
