Region,Poblacion,ConfirmadosNotificados,TasaIncidenciaAcumulada,NodeCasosactivos&,TasadeCasosactivos
Arica y Parinacota ,252.110 ,81 ,"32,1 ",63 ,"25,0 "
Tarapaca ,382.773 ,37 ,"9,7 ",19 ,"5,0 "
Antofagasta ,691.854 ,112 ,"16,2 ",52 ,"7,5 "
Atacama ,314.709 ,14 ,"4,4 ",12 ,"3,8 "
Coquimbo ,836.096 ,65 ,"7,8 ",24 ,"2,9 "
Valparaiso ,1.960.170 ,246 ,"12,5 ",87 ,"4,4 "
Metropolitana ,8.125.072 ,3.180 ,"39,1 ",1.306 ,"16,1 "
O'Higgins ,991.063 ,46 ,"4,6 ",14 ,"1,4 "
Maule ,1.131.939 ,137 ,"12,1 ",63 ,"5,6 "
Nuble ,511.551 ,591 ,"115,5 ",215 ,"42,0 "
Biobio ,1.663.696 ,400 ,"24,0 ",171 ,"10,3 "
Araucania ,1.014.343 ,653 ,"64,4 ",252 ,"24,8 "
Los Rios ,405.835 ,125 ,"30,8 ",49 ,"12,1 "
LOs Lagos ,891.440 ,344 ,"38,6 ",141 ,"15,8 "
Aisen ,107.297 ,5 ,"4,7 ",2 ,"1,9 "
Magallanes ,178.362 ,246 ,"137,9 ",95 ,"53,3 "
Por determinar ,- ,10 ,- ,7 ,- 
Total pais ,19.458.310 ,6.292 ,"32,3 ",2565 ,"13,2 "
