Region,Poblacion,Confirmados,Tasaincidencia
Algarrobo ,15174 ,8 ,52.7 
Cabildo ,20663 ,- ,0.0 
Calera ,53591 ,9 ,16.8 
Calle Larga ,16482 ,- ,12.1 
Cartagena ,25357 ,- ,0.0 
Casablanca ,29170 ,- ,6.9 
Catemu ,15213 ,- ,0.0 
Concon ,45889 ,- ,6.5 
EI Quisco ,17742 ,- ,5.6 
EI Tabo ,14338 ,- ,13.9 
Hijuelas ,19099 ,- ,0.0 
Isla de Pascua ,8277 ,6 ,72.5 
Juan Fernandez ,1033 ,- ,0.0 
La Cruz ,25321 ,- ,7.9 
La Ligua ,37739 ,- ,5.3 
Limache ,49931 ,7 ,14.0 
Llaillay ,26533 ,- ,7.5 
Los Andes ,68093 ,6 ,8.8 
Nogales ,23490 ,- ,0.0 
Olmue ,19266 ,- ,0.0 
Panquehue ,7633 ,- ,0.0 
Papudo ,6201 ,- ,0.0 
Petorca ,10558 ,5 ,47.4 
Puchuncavi ,20071 ,- ,0.0 
Putaendo ,17645 ,- ,5.7 
Quillota ,97572 ,13 ,13.3 
Quilpue ,167085 ,18 ,10.8 
Quintero ,36135 ,4 ,11.1 
Rinconada ,11263 ,- ,17.8 
San Antonio ,96761 ,13 ,13.4 
San Esteban ,20643 ,- ,0.0 
San Felipe ,83494 ,6 ,7.2 
Santa Maria ,16367 ,- ,12.2 
Santo Domingo ,11934 ,5 ,41.9 
Valparaiso ,315732 ,39 ,12.4 
Villa Alemana ,139310 ,12 ,8.6 
Vina de Mar ,361371 ,69 ,19.1 
Zapallar ,7994 ,- ,0.0 
Total ,1960170 ,241 ,12.3 
