Lampa,126898,41,32.3,17,13.4,17,13.4,0,0,0,8,11,13,8,1
Las Condes ,330759 ,306 ,92.5 ,39 ,11.8 ,38 ,11.5 ,0 ,6 ,59 ,119 ,65 ,36 ,20 ,1 
Lo Barnechea ,124076 ,125 ,100.7 ,26 ,21.0 ,25 ,20.1 ,0 ,2 ,14 ,51 ,25 ,18 ,15 ,O 
Lo Espejo ,103865 ,56 ,53.9 ,33 ,31.8 ,33 ,31.8 ,0 ,O ,1 ,4 ,6 ,24 ,21 ,O 
Lo Prado ,104403 ,47 ,45.0 ,15 ,14.4 ,14 ,13.4 ,0 ,0 ,3 ,4 ,18 ,12 ,9 ,1 
Macul ,134635 ,51 ,37.9 ,9 ,6.7 ,9 ,6.7 ,0 ,1 ,3 ,11 ,21 ,11 ,4 ,0 
Maipu ,578605 ,241 ,41.7 ,85 ,14.7 ,81 ,14.0 ,0 ,O ,12 ,45 ,61 ,70 ,48 ,5 
Maria Pinto ,14926 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0 ,O ,0 ,O ,O ,O ,O 
Melipilla ,141612 ,19 ,13.4 ,7 ,4.9 ,7 ,4.9 ,O ,1 ,1 ,4 ,6 ,4 ,3 ,O 
Nunoa ,250192 ,188 ,75.1 ,66 ,26.4 ,64 ,25.6 ,1 ,O ,25 ,49 ,35 ,40 ,35 ,3 
Padre Hurtado ,74188 ,27 ,36.4 ,9 ,12.1 ,9 ,12.1 ,O ,1 ,O ,5 ,9 ,5 ,7 ,O 
Paine ,82766 ,9 ,10.9 ,5 ,6.0 ,5 ,6.0 ,0 ,1 ,O ,2 ,0 ,4 ,2 ,O 
Pedro Aguirre Cerda ,107803 ,70 ,64.9 ,47 ,43.6 ,44 ,40.8 ,O ,O ,2 ,4 ,14 ,16 ,34 ,O 
Penaflor ,101058 ,26 ,25.7 ,8 ,7.9 ,8 ,7.9 ,0 ,1 ,4 ,3 ,8 ,4 ,6 ,O 
Penalolen ,266798 ,137 ,51.3 ,56 ,21.0 ,54 ,20.2 ,0 ,2 ,9 ,25 ,33 ,33 ,34 ,1 
Pirque ,30433 ,12 ,39.4 ,6 ,19.7 ,6 ,19.7 ,0 ,0 ,1 ,2 ,3 ,1 ,5 ,O 
Providencia ,157749 ,147 ,93.2 ,24 ,15.2 ,22 ,13.9 ,0 ,4 ,28 ,59 ,20 ,23 ,13 ,O 
Pudahuel ,253139 ,88 ,34.8 ,35 ,13.8 ,35 ,13.8 ,1 ,1 ,1 ,18 ,21 ,24 ,22 ,O 
Puente Alto ,645909 ,374 ,57.9 ,177 ,27.4 ,169 ,26.2 ,0 ,O ,7 ,49 ,88 ,134 ,93 ,3 
Quilicura ,254694 ,101 ,39.7 ,45 ,17.7 ,45 ,17.7 ,0 ,2 ,3 ,16 ,24 ,34 ,22 ,0 
Quinta Normal ,136368 ,105 ,77.0 ,51 ,37.4 ,51 ,37.4 ,0 ,2 ,4 ,14 ,22 ,32 ,28 ,3 
Recoleta ,190075 ,81 ,42.6 ,34 ,17.9 ,34 ,17.9 ,0 ,O ,5 ,14 ,16 ,23 ,21 ,2 
Renca ,160847 ,50 ,31.1 ,27 ,16.8 ,26 ,16.2 ,0 ,O ,4 ,7 ,10 ,6 ,20 ,3 
San Bernardo ,334836 ,156 ,46.6 ,77 ,23.0 ,77 ,23.0 ,1 ,1 ,6 ,19 ,33 ,55 ,39 ,2 
San Joaquin ,103485 ,68 ,65.7 ,26 ,25.1 ,26 ,25.1 ,O ,O ,1 ,14 ,21 ,12 ,20 ,O 
San Jose de Maipo ,18644 ,4 ,21.5 ,1 ,5.4 ,1 ,5.4 ,0 ,O ,1 ,1 ,1 ,O ,1 ,O 
San Migue ,133059 ,97 ,72.9 ,41 ,30.8 ,39 ,29.3 ,0 ,0 ,3 ,23 ,20 ,23 ,27 ,1 
