Paredones,6349,O,0.0,O,0.0,O,0.0,0,O,O,O,O,O,0,O
Peralillo ,11848 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 ,0 ,O ,0 ,0 ,O ,O ,O 
Peumo ,14952 ,1 ,6.7 ,O ,0.0 ,O ,0.0 ,O ,O ,O ,O ,O ,1 ,O ,O 
Pichidegua ,20743 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 ,O ,O ,O ,0 ,O ,O ,O 
Pichilemu ,17882 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 ,O ,O ,O ,O ,O ,O ,O 
Placilla ,9164 ,2 ,21.8 ,O ,0.0 ,O ,0.0 ,0 ,O ,O ,0 ,1 ,0 ,0 ,1 
Pumanque ,3531 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,0 ,0 ,O ,O ,O ,O ,O ,O 
Quinta de Tilcoco ,13877 ,3 ,21.6 ,O ,0.0 ,0 ,0.0 ,0 ,0 ,O ,1 ,O ,O ,O ,2 
Rancagua ,265211 ,15 ,5.7 ,3 ,1.1 ,3 ,1.1 ,O ,O ,O ,8 ,4 ,3 ,0 ,0 
Rengo ,63710 ,1 ,1.6 ,O ,0.0 ,O ,0.0 ,0 ,O ,O ,1 ,O ,O ,O ,O 
Requinoa ,30371 ,1 ,3.3 ,O ,0.0 ,O ,0.0 ,0 ,O ,O ,1 ,O ,O ,O ,O 
San Fernando ,78642 ,5 ,6.4 ,1 ,1.3 ,1 ,1.3 ,0 ,0 ,O ,2 ,1 ,2 ,O ,O 
San Vicente ,50617 ,4 ,7.9 ,O ,0.0 ,O ,0.0 ,0 ,O ,O ,O ,3 ,1 ,0 ,O 
Santa Cruz ,41096 ,2 ,4.9 ,O ,0.0 ,O ,0.0 ,O ,O ,O ,O ,1 ,1 ,O ,O 
Total ,991063 ,54 ,5.4 ,9 ,0.9 ,9 ,0.9 ,0 ,0 ,1 ,19 ,15 ,10 ,3 ,6 
