Puqueldon,4.201,O,"0,0",O,"0,0",O,"0,0",0,0,0,O,0,O,O,O
Purranque ,21.080 ,16 ,"75,9 ",8 ,"38,0 ",8 ,"38,0 ",0 ,0 ,0 ,O ,3 ,10 ,3 ,O 
Puyehue ,11.787 ,1 ,"8,5 ",O ,"0,0 ",O ,"0,0 ",O ,0 ,O ,1 ,0 ,O ,O ,O 
Queilen ,5.543 ,0 ,"0,0 ",O ,"0,0 ",O ,"0,0 ",O ,0 ,O ,O ,0 ,O ,O ,O 
Quellon ,29.309 ,O ,"0,0 ",O ,"0,0 ",O ,"0,0 ",O ,0 ,0 ,O ,0 ,O ,O ,O 
Quemchi ,8.783 ,0 ,"0,0 ",O ,"0,0 ",O ,"0,0 ",0 ,0 ,0 ,O ,0 ,O ,O ,O 
Quinchao ,8.298 ,1 ,"12,1 ",0 ,"0,0 ",O ,"0,0 ",O ,0 ,O ,O ,1 ,O ,O ,O 
Rio Negro ,14.275 ,3 ,"21,0 ",2 ,"14,0 ",2 ,"14,0 ",O ,0 ,O ,O ,1 ,2 ,0 ,O 
San Juan de la Costa ,7.639 ,13 ,"170,2 ",5 ,"65,5 ",5 ,"65,5 ",0 ,O ,0 ,O ,1 ,11 ,1 ,O 
San Pablo ,10.553 ,6 ,"56,9 ",4 ,"37,9 ",4 ,"37,9 ",O ,0 ,0 ,O ,2 ,4 ,O ,O 
,,,,,,,,,,,,,,,
Total ,891.440 ,390 ,"43,7 ",93 ,"10,4 ",88 ,"9,9 ",0 ,1 ,16 ,90 ,143 ,104 ,36 ,0 
