Paredones,6.349,O,"0,0",O,"0,0",O,"0,0",0,O,O,O,O,O,0,O
Peralillo ,11.848 ,0 ,"0,0 ",O ,"0,0 ",0 ,"0,0 ",0 ,0 ,O ,0 ,0 ,O ,O ,O 
Peumo ,14.952 ,1 ,"6,7 ",O ,"0,0 ",O ,"0,0 ",O ,O ,O ,O ,O ,1 ,O ,O 
Pichidegua ,20.743 ,0 ,"0,0 ",O ,"0,0 ",0 ,"0,0 ",0 ,O ,O ,O ,0 ,O ,O ,O 
Pichilemu ,17.882 ,O ,"0,0 ",O ,"0,0 ",O ,"0,0 ",0 ,O ,O ,O ,O ,O ,O ,O 
Placilla ,9.164 ,2 ,"21,8 ",O ,"0,0 ",O ,"0,0 ",0 ,O ,O ,0 ,1 ,0 ,0 ,1 
Pumanque ,3.531 ,0 ,"0,0 ",O ,"0,0 ",O ,"0,0 ",0 ,O ,O ,O ,O ,O ,O ,O 
Quinta de Tilcoco ,13.877 ,3 ,"21,6 ",O ,"0,0 ",0 ,"0,0 ",0 ,0 ,O ,1 ,O ,O ,O ,2 
Rancagua ,265.211 ,15 ,"5,7 ",3 ,"1,1 ",3 ,"1,1 ",O ,O ,O ,8 ,4 ,3 ,0 ,0 
Rengo ,63.710 ,1 ,"1,6 ",O ,"0,0 ",O ,"0,0 ",0 ,O ,O ,1 ,O ,O ,O ,O 
Requinoa ,30.371 ,1 ,"3,3 ",O ,"0,0 ",O ,"0,0 ",0 ,O ,O ,1 ,O ,O ,O ,O 
San Fernando ,78.642 ,5 ,"6,4 ",1 ,"1,3 ",1 ,"1,3 ",0 ,0 ,O ,2 ,1 ,2 ,O ,O 
San Vicente ,50.617 ,4 ,"7,9 ",O ,"0,0 ",O ,"0,0 ",0 ,O ,O ,O ,3 ,1 ,0 ,O 
Santa Cruz ,41.096 ,2 ,"4,9 ",O ,"0,0 ",O ,"0,0 ",O ,O ,O ,O ,1 ,1 ,O ,O 
Total ,991.063 ,55 ,"5,5 ",9 ,"0,9 ",9 ,"0,9 ",0 ,0 ,1 ,19 ,15 ,10 ,4 ,6 
