,,,,,,,Numero,deCasos,segun,FechadeInicio,deSintomas,,,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE 9 (23 al 29 de febrero) ,SE 10 (1 al 7 de marzo) ,SE 11 (8 al 14 de marzo) ,SE 12 (15 al 21 de marzo) ,SE 13 (22 al 28 de marzo) ,SE 14 (29 de marzo al 4 de abril) ,SE 15 (5 de abril al 11 de abril) ,SE 16 (12 de abril al 18 de abril) 
Aisen ,25002 ,3 ,12.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,1 ,1 ,0 ,1 ,0 ,0 
Chile Chico ,5121 ,1 ,19.5 ,0 ,0.0 ,O ,0.0 ,0 ,0 ,O ,O ,0 ,1 ,O ,O 
Cisnes ,5828 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 ,O ,O ,O ,O ,O ,O ,O 
Cochrane ,3685 ,0O ,0.0 ,0 ,0.0 ,O ,0.0 ,O ,0 ,O ,O ,O ,O ,O ,O 
Coyhaique ,61210 ,2 ,3.3 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,2 ,0 ,0 ,O ,O ,O 
Guaitecas ,1599 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O ,O ,O ,O ,O ,O ,O ,O 
Lago Verde ,920 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,O ,O ,O ,O ,O ,O ,O 
O'Higgins ,661 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,O ,O ,O ,O ,O ,O ,O 
Rio Ibanez ,2699 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O ,0 ,O ,O ,O ,O ,O ,O 
Tortel ,572 ,1 ,174.8 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,O 
Total ,107297 ,7 ,6.5 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,4 ,1 ,0 ,2 ,0 ,0 
