Region,Poblacion,ConfirmadosNotificados,IncidenciaAcumuladaTasa
Arica y Parinacota ,252110 ,134 ,53.2 
Tarapaca ,382773 ,73 ,19.1 
Antofagasta ,691854 ,211 ,30.5 
Atacama ,314709 ,13 ,4.1 
Coquimbo ,836096 ,68 ,8.1 
Valparaiso ,1960170 ,345 ,17.6 
Metropolitana ,8125072 ,4915 ,60.5 
O'Higgins ,991063 ,55 ,5.5 
Maule ,1131939 ,223 ,19.7 
Nuble ,511551 ,656 ,128.2 
Biobio ,1663696 ,578 ,34.7 
Araucania ,1014343 ,907 ,89.4 
Los Rios ,405835 ,154 ,37.9 
Los Lagos ,891440 ,412 ,46.2 
Aisen ,107297 ,7 ,6.5 
Magallanes ,178362 ,501 ,280.9 
Total pais ,19458310 ,9252 ,47.5 
