Olmue,19266,2,10.4,0,0.0,0,0.0,0,0,0,0,0,2,0,0,0
Panquehue ,7633 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,0 ,0 ,O ,0 ,O ,O ,0 ,0 
Papudo ,6201 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Petorca ,10558 ,6 ,56.8 ,0 ,0.0 ,O ,0.0 ,O ,O ,0 ,1 ,4 ,1 ,O ,O ,O 
Puchuncavi ,20071 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,O ,0 ,0 
Putaendo ,17645 ,5 ,28.3 ,3 ,17.0 ,3 ,17.0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,3 ,0 
Quillota& ,97572 ,22 ,22.5 ,2 ,2.0 ,2 ,2.0 ,0 ,1 ,0 ,3 ,7 ,3 ,6 ,1 ,1 
Quilpue8 ,167085 ,30 ,18.0 ,4 ,2.4 ,4 ,2.4 ,0 ,1 ,3 ,3 ,8 ,7 ,4 ,4 ,0 
Quintero8 ,36135 ,6 ,16.6 ,3 ,8.3 ,3 ,8.3 ,O ,0 ,0 ,3 ,0 ,O ,0 ,3 ,0 
Rinconada8 ,11263 ,2 ,17.8 ,1 ,8.9 ,1 ,8.9 ,O ,O ,0 ,O ,0 ,1 ,0 ,0 ,1 
San Antonio& ,96761 ,46 ,47.5 ,20 ,20.7 ,20 ,20.7 ,O ,0 ,0 ,O ,5 ,14 ,10 ,15 ,2 
San Esteban ,20643 ,1 ,4.8 ,1 ,4.8 ,1 ,4.8 ,O ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
San Felipe ,83494 ,6 ,7.2 ,0 ,0.0 ,O ,0.0 ,O ,0 ,0 ,3 ,2 ,1 ,O ,0 ,0 
Santa Maria ,16367 ,2 ,12.2 ,0 ,0.0 ,O ,0.0 ,O ,O ,0 ,O ,2 ,O ,0 ,0 ,O 
Santo Domingo& ,11934 ,17 ,142.5 ,5 ,41.9 ,5 ,41.9 ,O ,O ,2 ,1 ,O ,6 ,4 ,4 ,O 
Valparaiso8 ,315732 ,67 ,21.2 ,16 ,5.1 ,16 ,5.1 ,O ,1 ,2 ,10 ,16 ,11 ,16 ,10 ,1 
Villa Alemana& ,139310 ,14 ,10.0 ,1 ,0.7 ,1 ,0.7 ,O ,0 ,1 ,7 ,3 ,2 ,O ,1 ,0 
Vina del Mar& ,361371 ,103 ,28.5 ,18 ,5.0 ,17 ,4.7 ,O ,O ,6 ,21 ,27 ,22 ,12 ,15 ,O 
Zapallar ,7994 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,0 ,0 ,O ,0 ,O ,0 ,0 ,0 
Total ,1960170 ,455 ,23.2 ,111 ,5.7 ,109 ,5.6 ,0 ,4 ,15 ,71 ,101 ,93 ,80 ,80 ,11 
