,,,,,,,,,,Numerode,Casos,Nuevossegun,semana,,epidemiologica,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE 8 (16 al 22 de febrero) ,SE 9 (23 al 29 de febrero) ,SE 10 (1 al 7 de marzo) ,SE1 11 (8 al 14 de marzo) ,SE 12 (15 al 21 de marzo) ,SE 13 (22 al 28 de marzo) ,SE 14 (29 de marzo al 4 de abril) ,SE 15 (5 de abril al 11 de abril) ,SE 16 (12 de abril al 18 de abril) ,SE 17 (19 de abril al 25 de abril) 
Alhue ,7405 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0 ,O ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Buin& ,109641 ,53 ,48.3 ,16 ,14.6 ,16 ,14.6 ,0 ,0 ,0 ,0 ,4 ,18 ,8 ,13 ,10 ,0 
Calera de Tango ,28525 ,15 ,52.6 ,5 ,17.5 ,5 ,17.5 ,0 ,0 ,0 ,0 ,4 ,4 ,1 ,1 ,4 ,1 
Cerrillos ,88956 ,66 ,74.2 ,24 ,27.0 ,24 ,27.0 ,O ,0 ,1 ,2 ,4 ,9 ,12 ,19 ,14 ,5 
Cerro Navia& ,142465 ,118 ,82.8 ,51 ,35.8 ,51 ,35.8 ,0 ,0 ,0 ,10 ,12 ,10 ,12 ,35 ,32 ,7 
Colina8 ,180353 ,95 ,52.7 ,16 ,8.9 ,16 ,8.9 ,0 ,0 ,4 ,6 ,28 ,14 ,17 ,13 ,10 ,3 
Conchali8 ,139195 ,98 ,70.4 ,40 ,28.7 ,37 ,26.6 ,0 ,O ,O ,1 ,15 ,12 ,15 ,20 ,28 ,7 
Curacavi ,36430 ,15 ,41.2 ,1 ,2.7 ,O ,0.0 ,0 ,0 ,0 ,1 ,2 ,4 ,4 ,4 ,O ,0 
EI Bosque ,172000 ,145 ,84.3 ,51 ,29.7 ,51 ,29.7 ,0 ,0 ,0 ,2 ,14 ,21 ,28 ,44 ,28 ,8 
EI Monte ,40014 ,13 ,32.5 ,2 ,5.0 ,2 ,5.0 ,O ,0 ,O ,O ,1 ,1 ,6 ,4 ,1 ,O 
Estacion Central& ,206792 ,162 ,78.3 ,72 ,34.8 ,66 ,31.9 ,0 ,O ,1 ,2 ,11 ,25 ,30 ,35 ,48 ,10 
Huechuraba ,112528 ,77 ,68.4 ,22 ,19.6 ,22 ,19.6 ,0 ,0 ,O ,4 ,18 ,7 ,16 ,16 ,16 ,0 
Independencia ,142065 ,196 ,138.0 ,130 ,91.5 ,127 ,89.4 ,0 ,0 ,0 ,3 ,13 ,8 ,19 ,38 ,92 ,22 
Isla de Maipo ,40171 ,11 ,27.4 ,0 ,0.0 ,O ,0.0 ,0 ,0 ,O ,0 ,2 ,1 ,6 ,2 ,O ,0 
La Cisterna8 ,100434 ,73 ,72.7 ,29 ,28.9 ,26 ,25.9 ,0 ,0 ,O ,0 ,10 ,9 ,12 ,18 ,19 ,5 
La Florida ,402433 ,282 ,70.1 ,88 ,21.9 ,82 ,20.4 ,0 ,0 ,2 ,12 ,29 ,55 ,53 ,56 ,61 ,14 
La Granja ,122557 ,80 ,65.3 ,22 ,18.0 ,22 ,18.0 ,0 ,0 ,0 ,1 ,6 ,13 ,24 ,16 ,15 ,5 
La Pintana ,189335 ,128 ,67.6 ,55 ,29.0 ,53 ,28.0 ,0 ,0 ,0 ,3 ,5 ,17 ,26 ,33 ,36 ,8 
La Reina ,100252 ,65 ,64.8 ,7 ,7.0 ,7 ,7.0 ,0 ,1 ,O ,12 ,14 ,11 ,14 ,6 ,7 ,0 
