Lampa,126898,58,45.7,16,12.6,16,12.6,0,0,0,0,8,13,13,10,10,4
Las Condes ,330759 ,346 ,104.6 ,42 ,12.7 ,41 ,12.4 ,1 ,O ,6 ,60 ,120 ,65 ,37 ,26 ,23 ,8 
Lo Barnechea ,124076 ,170 ,137.0 ,41 ,33.0 ,41 ,33.0 ,0 ,0 ,2 ,14 ,51 ,26 ,16 ,34 ,25 ,2 
Lo Espejo ,103865 ,80 ,77.0 ,24 ,23.1 ,23 ,22.1 ,0 ,0 ,O ,1 ,4 ,7 ,23 ,25 ,15 ,5 
Lo Prado8 ,104403 ,88 ,84.3 ,34 ,32.6 ,34 ,32.6 ,0 ,0 ,1 ,2 ,5 ,19 ,13 ,20 ,21 ,7 
Macul8 ,134635 ,89 ,66.1 ,32 ,23.8 ,32 ,23.8 ,0 ,0 ,1 ,3 ,11 ,21 ,14 ,11 ,13 ,15 
Maipu& ,578605 ,364 ,62.9 ,106 ,18.3 ,103 ,17.8 ,0 ,0 ,0 ,13 ,45 ,65 ,73 ,72 ,85 ,10 
Maria Pinto ,14926 ,1 ,6.7 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 
Melipilla ,141612 ,40 ,28.2 ,20 ,14.1 ,20 ,14.1 ,0 ,0 ,1 ,1 ,4 ,6 ,4 ,7 ,17 ,0 
Nunoa ,250192 ,269 ,107.5 ,76 ,30.4 ,73 ,29.2 ,0 ,1 ,1 ,26 ,51 ,35 ,44 ,43 ,60 ,8 
Padre Hurtado& ,74188 ,35 ,47.2 ,6 ,8.1 ,6 ,8.1 ,0 ,0 ,1 ,0 ,5 ,9 ,5 ,11 ,3 ,1 
Paine8 ,82766 ,13 ,15.7 ,4 ,4.8 ,4 ,4.8 ,0 ,0 ,1 ,0 ,2 ,0 ,4 ,3 ,2 ,1 
Pedro Aguirre Cerda ,107803 ,109 ,101.1 ,36 ,33.4 ,36 ,33.4 ,0 ,0 ,O ,3 ,4 ,13 ,19 ,41 ,26 ,3 
Penaflord ,101058 ,44 ,43.5 ,17 ,16.8 ,17 ,16.8 ,0 ,0 ,1 ,4 ,3 ,9 ,4 ,7 ,12 ,4 
Pefalolen ,266798 ,209 ,78.3 ,73 ,27.4 ,72 ,27.0 ,0 ,0 ,2 ,9 ,25 ,31 ,34 ,50 ,52 ,6 
Pirque ,30433 ,16 ,52.6 ,4 ,13.1 ,4 ,13.1 ,0 ,0 ,0 ,2 ,2 ,3 ,1 ,5 ,3 ,0 
Providencia ,157749 ,196 ,124.2 ,42 ,26.6 ,39 ,24.7 ,0 ,0 ,4 ,28 ,62 ,20 ,21 ,30 ,27 ,4 
Pudahuel8 ,253139 ,137 ,54.1 ,41 ,16.2 ,40 ,15.8 ,0 ,1 ,1 ,1 ,19 ,21 ,29 ,37 ,23 ,5 
Puente Alto& ,645909 ,688 ,106.5 ,269 ,41.6 ,263 ,40.7 ,0 ,0 ,1 ,7 ,53 ,94 ,146 ,162 ,190 ,35 
Quilicura ,254694 ,164 ,64.4 ,60 ,23.6 ,59 ,23.2 ,0 ,0 ,2 ,3 ,18 ,23 ,36 ,30 ,39 ,13 
Quinta Normal& ,136368 ,172 ,126.1 ,66 ,48.4 ,66 ,48.4 ,O ,O ,2 ,4 ,13 ,24 ,36 ,46 ,38 ,9 
Recoleta ,190075 ,174 ,91.5 ,90 ,47.3 ,86 ,45.2 ,0 ,0 ,O ,5 ,14 ,17 ,25 ,39 ,51 ,23 
Renca8 ,160847 ,107 ,66.5 ,68 ,42.3 ,68 ,42.3 ,0 ,0 ,O ,4 ,7 ,10 ,5 ,28 ,48 ,5 
San Bernardo& ,334836 ,318 ,95.0 ,146 ,43.6 ,143 ,42.7 ,0 ,1 ,1 ,6 ,20 ,35 ,63 ,65 ,96 ,30 
San Joaquin& ,103485 ,118 ,114.0 ,47 ,45.4 ,47 ,45.4 ,0 ,0 ,O ,1 ,14 ,22 ,13 ,30 ,33 ,5 
San Jose de Maipo ,18644 ,7 ,37.5 ,2 ,10.7 ,2 ,10.7 ,0 ,0 ,0 ,1 ,1 ,1 ,1 ,1 ,0 ,2 
San Miguel& ,133059 ,152 ,114.2 ,50 ,37.6 ,48 ,36.1 ,0 ,0 ,0 ,3 ,24 ,20 ,25 ,37 ,38 ,5 
San Pedro ,11953 ,2 ,16.7 ,2 ,16.7 ,2 ,16.7 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 
