,11848,0,0.0,0,0.0,0,0.0,0,0,00,0,O,0,0,O
,14952 ,1 ,6.7 ,O ,0.0 ,O ,0.0 ,0 ,O ,O 0 ,1 ,0 ,O ,0 ,O 
Pichidegua ,20743 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,0 ,0 0 ,O ,0 ,0 ,0 ,0 
,17882 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,O ,O O ,O ,O ,O ,O ,O 
,9164 ,1 ,10.9 ,0 ,0.0 ,0 ,0.0 ,O ,O ,O O ,1 ,O ,0 ,0 ,O 
Pumanque ,3531 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O ,O ,O O ,O ,O ,O ,O ,O 
de Tilcoco ,13877 ,1 ,7.2 ,0 ,0.0 ,0 ,0.0 ,O ,O ,O 1 ,O ,0 ,O ,0 ,0 
Rancagua& ,265211 ,28 ,10.6 ,8 ,3.0 ,8 ,3.0 ,0 ,0 ,0 7 ,4 ,7 ,3 ,5 ,2 
,63710 ,3 ,4.7 ,1 ,1.6 ,1 ,1.6 ,0 ,0 ,0 1 ,1 ,0 ,O ,1 ,0 
,30371 ,3 ,9.9 ,1 ,3.3 ,1 ,3.3 ,0 ,O ,O 2 ,O ,O ,O ,0 ,1 
Fernando& ,78642 ,5 ,6.4 ,2 ,2.5 ,2 ,2.5 ,0 ,0 ,0 2 ,0 ,1 ,0 ,1 ,1 
Vicente ,50617 ,4 ,7.9 ,0 ,0.0 ,0 ,0.0 ,0 ,O ,0 0 ,3 ,1 ,O ,0 ,0 
Cruz& ,41096 ,2 ,4.9 ,1 ,2.4 ,1 ,2.4 ,O ,0 ,O O ,1 ,O ,O ,1 ,O 
,991063 ,81 ,8.2 ,29 ,2.9 ,29 ,2.9 ,0 ,0 ,1 20 ,14 ,11 ,10 ,12 ,13 
