Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerOdeCasosActivos,TasadeIncidenciaActivos,SE9(23al29defebrero),SE10(1al7demarzo),SE11(8al14demarzo),SE12(15al21demarzo),SE13(22al28demarzo),SE14(29demarzoal4deabril),SE15(5deabrilal11deabril),SE16(12deabrial18deabril),SE17(19deabrilal25deabril)
Cauquenes& ,44143 ,12 ,27.2 ,6 ,13.6 ,6 ,13.6 ,O ,O ,0 ,O ,2 ,3 ,1 ,5 ,1 
Chanco ,9331 ,2 ,21.4 ,1 ,10.7 ,1 ,10.7 ,O ,O ,O ,O ,1 ,O ,0 ,1 ,O 
Colbun& ,22565 ,6 ,26.6 ,0 ,0.0 ,0 ,0.0 ,O ,0 ,O ,0 ,3 ,3 ,0 ,0 ,O 
Constitucion& ,50348 ,18 ,35.8 ,11 ,21.8 ,11 ,21.8 ,O ,O ,O ,O ,3 ,3 ,5 ,7 ,O 
Curepto& ,9426 ,8 ,84.9 ,4 ,42.4 ,4 ,42.4 ,O ,0 ,0 ,O ,O ,3 ,2 ,3 ,0 
Curico ,163626 ,31 ,18.9 ,10 ,6.1 ,10 ,6.1 ,O ,1 ,2 ,3 ,6 ,3 ,11 ,5 ,0 
Empedrado ,4206 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,O ,O ,O ,0 ,O ,0 ,0 ,0 
Hualane ,10222 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,O ,O ,O ,O ,O ,0 ,0 ,0 
Licanten ,6989 ,2 ,28.6 ,1 ,14.3 ,1 ,14.3 ,O ,O ,0 ,O ,0 ,1 ,0 ,1 ,0 
Linares& ,101073 ,22 ,21.8 ,8 ,7.9 ,8 ,7.9 ,1 ,0 ,O ,2 ,5 ,5 ,3 ,6 ,0 
Longavi ,32810 ,4 ,12.2 ,1 ,3.0 ,1 ,3.0 ,O ,0 ,0 ,1 ,0 ,1 ,1 ,1 ,0 
Maule& ,60000 ,22 ,36.7 ,16 ,26.7 ,16 ,26.7 ,O ,O ,O ,1 ,1 ,2 ,5 ,11 ,2 
Molina8 ,49800 ,7 ,14.1 ,4 ,8.0 ,3 ,6.0 ,O ,0 ,0 ,1 ,2 ,0 ,1 ,3 ,0 
Parral8 ,44544 ,9 ,20.2 ,2 ,4.5 ,2 ,4.5 ,O ,O ,O ,1 ,3 ,2 ,2 ,1 ,O 
Pelarco ,9083 ,5 ,55.0 ,2 ,22.0 ,2 ,22.0 ,O ,0 ,O ,O ,0 ,O ,3 ,2 ,O 
Pelluhue8 ,8092 ,2 ,24.7 ,0 ,0.0 ,0 ,0.0 ,0 ,O ,0 ,1 ,O ,0 ,1 ,0 ,0 
Pencahue& ,8601 ,3 ,34.9 ,3 ,34.9 ,3 ,34.9 ,O ,0 ,0 ,O ,O ,0 ,0 ,3 ,0 
Rauco ,11248 ,2 ,17.8 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 
Retiro& ,21071 ,1 ,4.7 ,0 ,0.0 ,0 ,0.0 ,O ,0 ,0 ,0 ,O ,O ,1 ,0 ,0 
Rio Claro& ,14753 ,7 ,47.4 ,3 ,20.3 ,3 ,20.3 ,0 ,0 ,0 ,2 ,O ,1 ,1 ,3 ,0 
