,,,,,,,,,Numero,de,Casos,Nuevossegun,semana,,epidemiologica,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE 8 (16 al 22 de febrero) ,SE 9 (23 al 29 de febrero) ,SE 10 (1 al 7 de marzo) ,SE 11 (8 al 14 de marzo) ,SE 12 (15 al 21 de marzo) ,SE 13 (22 al 28 de marzo) ,SE 14 (29 de marzo al 4 al de abril ,SE SE 16 15 (12 (5 d de de abril abril 11 al 18 de de abril abril ,SE 17 (19 de abril al de abril) 
Bulnes& ,22607 ,59 ,261.0 ,9 ,39.8 ,8 ,35.4 ,O ,O ,O ,0 ,7 ,28 ,10 ,7 7 ,O 
Chillan& ,198624 ,411 ,206.9 ,37 ,18.6 ,37 ,18.6 ,1 ,0 ,1 ,30 ,120 ,122 ,74 ,35 23 ,5 
Chillan Viejo& ,33827 ,52 ,153.7 ,3 ,8.9 ,3 ,8.9 ,0 ,O ,0 ,4 ,5 ,22 ,8 ,10 2 ,1 
Cobquecura ,5275 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,0 ,0 ,O ,O ,0 ,0 ,O ,O O ,0 
Coelemu ,16845 ,4 ,23.7 ,0 ,0.0 ,O ,0.0 ,O ,O ,O ,0 ,O ,2 ,2 ,0 0 ,O 
Coihueco ,28375 ,24 ,84.6 ,13 ,45.8 ,13 ,45.8 ,0 ,0 ,O ,0 ,3 ,2 ,3 ,4 10 ,2 
EI Carmen ,12334 ,3 ,24.3 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,0 ,0 ,1 ,1 ,1 ,O O ,0 
Ninhue ,5414 ,4 ,73.9 ,2 ,36.9 ,2 ,36.9 ,0 ,0 ,O ,0 ,0 ,O ,2 ,O 2 ,O 
Niquen8 ,11567 ,3 ,25.9 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,O ,0 ,O ,0 ,1 ,2 O ,0O 
Pemuco ,8639 ,5 ,57.9 ,1 ,11.6 ,1 ,11.6 ,0 ,O ,0 ,0 ,1 ,0 ,3 ,1 0 ,O 
Pinto ,11880 ,11 ,92.6 ,2 ,16.8 ,2 ,16.8 ,0 ,0 ,0 ,0 ,2 ,2 ,4 ,1 2 ,0 
Portezuelo ,4940 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,O 0 ,O 
Quillon ,18777 ,26 ,138.5 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,0 ,1 ,8 ,8 ,8 ,1 0 ,O 
Quirihue& ,12192 ,4 ,32.8 ,1 ,8.2 ,1 ,8.2 ,0 ,0 ,O ,0 ,O ,0 ,3 ,O 1 ,O 
Ranquil ,6261 ,9 ,143.7 ,O ,0.0 ,O ,0.0 ,0 ,0 ,O ,0 ,3 ,2 ,4 ,0 0 ,O 
San Carlos8 ,56252 ,34 ,60.4 ,3 ,5.3 ,3 ,5.3 ,O ,0 ,O ,3 ,7 ,9 ,9 ,3 2 ,1 
San Fabian& ,4654 ,7 ,150.4 ,1 ,21.5 ,1 ,21.5 ,O ,O ,O ,0 ,2 ,3 ,1 ,O 1 ,0 
San Ignacio ,16624 ,5 ,30.1 ,1 ,6.0 ,1 ,6.0 ,0 ,O ,0 ,0 ,1 ,2 ,1 ,0 O ,1 
San Nicolas ,12172 ,14 ,115.0 ,2 ,16.4 ,2 ,16.4 ,0 ,0 ,0 ,1 ,1 ,4 ,5 ,3 0 ,0 
Treguaco ,5696 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 ,0 ,O ,O ,0 ,0 ,0 ,O O ,0 
