Quilaco,4179,0,0.0,0,0.0,0,0.0,0,0,O,0,O,O,0,0,0
Quilleco ,10032 ,1 ,10.0 ,1 ,10.0 ,1 ,10.0 ,0 ,0 ,0 ,0 ,O ,0 ,0 ,1 ,0 
San Pedro de la Paz& ,145906 ,99 ,67.9 ,15 ,10.3 ,15 ,10.3 ,0 ,0 ,6 ,33 ,15 ,24 ,9 ,11 ,1 
San Rosendo ,3611 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,0 ,0 ,O ,0 ,O ,0 ,0 ,O ,0 
Santa Barbara ,14592 ,3 ,20.6 ,0 ,0.0 ,0 ,0.0 ,O ,O ,O ,1 ,2 ,0 ,0 ,O ,0 
Santa Juana ,14779 ,2 ,13.5 ,1 ,6.8 ,1 ,6.8 ,O ,0 ,0 ,0 ,O ,1 ,0 ,O ,1 
Talcahuano& ,158345 ,90 ,56.8 ,24 ,15.2 ,24 ,15.2 ,0 ,0 ,3 ,20 ,17 ,17 ,13 ,13 ,7 
Tirua ,11019 ,4 ,36.3 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,O ,1 ,2 ,1 ,0 ,O ,0 
Tome& ,58729 ,50 ,85.1 ,12 ,20.4 ,12 ,20.4 ,0 ,O ,0 ,10 ,11 ,12 ,7 ,9 ,1 
Tucapel ,15205 ,1 ,6.6 ,0 ,0.0 ,O ,0.0 ,0 ,0 ,O ,O ,O ,1 ,O ,O ,0 
Yumbe ,22132 ,6 ,27.1 ,1 ,4.5 ,1 ,4.5 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,1 ,0 
Total ,1663696 ,688 ,41.4 ,152 ,9.1 ,150 ,9.0 ,1 ,2 ,29 ,135 ,159 ,145 ,96 ,94 ,27 
