,,,,,,,,,Numero,de,CasosNuevos,segun,semana,epidemiologica,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE 9 (23 al 29 de febrero) ,SE 10 (1 al 7 de marzo) ,SE 11 (8 al 14 de marzo) ,SE 12 (15 al 21 de marzo) ,SE 13 (22 al 28 de marzo) ,SE 14 (29 de marzo al 4 de abril) ,SE 15 (5 de abril al 11 de abril) ,SE 16 (12 de abril al 18 de abril ,SE 17 (19 de abril al 25 de abril) 
Angol8 ,56058 ,75 ,133.8 ,38 ,67.8 ,34 ,60.7 ,O ,1 ,1 ,3 ,10 ,9 ,16 ,29 ,6 
Carahue& ,25486 ,30 ,117.7 ,10 ,39.2 ,10 ,39.2 ,0 ,0 ,O ,1 ,3 ,9 ,9 ,8 ,0 
Cholchol ,12341 ,5 ,40.5 ,1 ,8.1 ,1 ,8.1 ,0 ,0 ,O ,1 ,3 ,O ,1 ,O ,O 
Collipulli8 ,26148 ,2 ,7.6 ,1 ,3.8 ,0 ,0.0 ,0 ,O ,O ,0 ,0 ,O ,1 ,1 ,0 
Cunco ,18055 ,6 ,33.2 ,0 ,0.0 ,O ,0.0 ,0 ,0 ,0 ,0 ,3 ,3 ,O ,0 ,0 
Curacautin ,18178 ,6 ,33.0 ,1 ,5.5 ,1 ,5.5 ,0 ,0 ,0 ,2 ,O ,3 ,O ,0 ,1 
Curarrehue ,7802 ,4 ,51.3 ,0 ,0.0 ,O ,0.0 ,0 ,0 ,1 ,1 ,2 ,0 ,0 ,O ,0 
Ercilla ,8458 ,8 ,94.6 ,5 ,59.1 ,5 ,59.1 ,0 ,0 ,O ,0 ,O ,3 ,1 ,3 ,1 
Freire& ,25446 ,7 ,27.5 ,2 ,7.9 ,2 ,7.9 ,0 ,0 ,0 ,2 ,3 ,0 ,0 ,2 ,0 
Galvarino ,12633 ,2 ,15.8 ,O ,0.0 ,O ,0.0 ,O ,0 ,O ,O ,1 ,1 ,O ,O ,O 
Gorbea8 ,15148 ,12 ,79.2 ,2 ,13.2 ,2 ,13.2 ,0 ,0 ,1 ,4 ,4 ,1 ,O ,2 ,0 
Lautaro8 ,40746 ,34 ,83.4 ,5 ,12.3 ,5 ,12.3 ,1 ,0 ,0 ,6 ,4 ,13 ,6 ,4 ,0 
Loncoche ,24739 ,9 ,36.4 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,0 ,2 ,2 ,2 ,3 ,0 ,0 
Lonquimay ,11049 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O ,0 ,0 ,O ,O ,0 ,O ,O ,0 
Los Sauces ,7517 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,O ,O ,O ,0 ,0 ,0 ,O 
Lumaco ,10050 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0 ,0 ,0 ,O ,0 ,O ,0 ,0 
Melipeuco ,6265 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O ,0 ,O ,0 ,O ,0 ,O ,0 ,0 
Nueva Imperial& ,33777 ,36 ,106.6 ,9 ,26.6 ,9 ,26.6 ,0 ,0 ,0 ,6 ,10 ,6 ,13 ,1 ,O 
Padre Las Casas& ,82110 ,78 ,95.0 ,16 ,19.5 ,16 ,19.5 ,0 ,0 ,0 ,10 ,23 ,17 ,13 ,13 ,2 
Perquenco ,7223 ,6 ,83.1 ,3 ,41.5 ,3 ,41.5 ,0 ,0 ,0 ,1 ,1 ,1 ,O ,3 ,0 
Pitrufquen ,26096 ,19 ,72.8 ,1 ,3.8 ,1 ,3.8 ,0 ,0 ,0 ,4 ,8 ,6 ,0 ,1 ,0 
Pucon ,29782 ,12 ,40.3 ,1 ,3.4 ,1 ,3.4 ,0 ,0 ,1 ,3 ,O ,4 ,3 ,0 ,1 
