Puren,12188,2,16.4,0,0.0,0,0.0,0,0,O,0,2,O,0,0,0
Renaico& ,10833 ,4 ,36.9 ,2 ,18.5 ,2 ,18.5 ,0 ,0 ,O ,0 ,1 ,1 ,O ,2 ,0 
Saavedra ,12793 ,15 ,117.3 ,12 ,93.8 ,11 ,86.0 ,0 ,0 ,O ,0 ,0 ,1 ,4 ,8 ,2 
Temuco& ,302931 ,644 ,212.9 ,84 ,27.7 ,83 ,27.4 ,0 ,4 ,27 ,139 ,159 ,151 ,108 ,56 ,0 
Teodoro Schmidt& ,15786 ,6 ,38.0 ,1 ,6.3 ,1 ,6.3 ,O ,O ,O ,2 ,2 ,0 ,1 ,1 ,0 
Tolten ,10055 ,6 ,59.7 ,0 ,0.0 ,O ,0.0 ,O ,0 ,0 ,3 ,1 ,2 ,O ,O ,O 
Traiguen ,19314 ,3 ,15.5 ,1 ,5.2 ,1 ,5.2 ,0 ,0 ,O ,0 ,O ,2 ,O ,1 ,0 
Victoria8 ,35467 ,55 ,155.1 ,41 ,115.6 ,39 ,110.0 ,0 ,0 ,0 ,2 ,7 ,3 ,3 ,29 ,11 
Vilcun& ,30766 ,39 ,126.8 ,4 ,13.0 ,4 ,13.0 ,0 ,O ,0 ,6 ,10 ,14 ,7 ,2 ,0 
Villarrica8 ,59103 ,19 ,32.1 ,0 ,0.0 ,O ,0.0 ,O ,0 ,0 ,2 ,10 ,6 ,1 ,O ,0 
Total ,1014343 ,1144 ,112.9 ,240 ,23.7 ,231 ,22.8 ,1 ,5 ,31 ,200 ,269 ,258 ,190 ,166 ,24 
