,,,,,,,,,,Numerode,CasosNuevos,segun,semana,epidemiologica,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE 9 (23 al 29 de febrero) ,SE 10 (1 al 7 de marzo) ,SE 11 (8 al 14 de marzo) ,SE 12 (15 al 21 de marzo) ,SE 13 (22 al 28 de marzo) ,SE 14 (29 de marzo al 4 de abril) ,SE 15 (5 de abril al 11 de abril) ,SE 16 (12 de abri al 18 de abril) ,SE 17 (19 de abri al 25 de abril) 
Antartica ,137 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 ,O ,0 ,O ,0 ,0 ,0 ,0 ,0 
Cabo de Hornos ,1983 ,17 ,857.3 ,O ,0.0 ,O ,0.0 ,0 ,O ,0 ,8 ,7 ,1 ,1 ,0 ,O 
Laguna Blanca ,264 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O ,O ,O ,O ,O ,0 ,O ,0 ,0 
Natales8 ,23782 ,7 ,29.4 ,O ,0.0 ,O ,0.0 ,O ,O ,1 ,3 ,1 ,0 ,2 ,0 ,0 
Porvenir ,7323 ,8 ,109.2 ,2 ,27.3 ,2 ,27.3 ,O ,O ,0 ,0 ,3 ,1 ,2 ,2 ,O 
Primavera ,694 ,1 ,144.1 ,1 ,144.1 ,1 ,144.1 ,0 ,O ,0 ,O ,0 ,0 ,1 ,0 ,0 
Punta Arenas& ,141984 ,581 ,409.2 ,147 ,103.5 ,147 ,103.5 ,2 ,1 ,5 ,62 ,121 ,145 ,140 ,100 ,5 
Rio Verde ,211 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,O ,0 ,O ,0 ,0 ,0 ,0 ,0 
San Gregorio ,681 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Timaukel ,282 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,O ,0 ,O ,0 ,O ,0 ,0 ,O 
Torres del Paine ,1021 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,O ,O ,O ,O ,0 ,0 ,0 ,0 
En investigacion ,- ,3 ,- ,1 ,- ,1 ,- ,O ,O ,O ,1 ,0 ,O ,0 ,1 ,1 
Total ,178362 ,617 ,345.4 ,151 ,84.7 ,151 ,84.7 ,2 ,1 ,6 ,73 ,132 ,147 ,146 ,102 ,6 
