Region,Poblacion,ConfirmadosNotificados,TasaIncidenciaAcumulada
Arica y Parinacota ,252110 ,224 ,88.9 
Tarapaca ,382773 ,130 ,34.0 
Antofagasta ,691854 ,368 ,53.2 
Atacama ,314709 ,21 ,6.7 
Coquimbo ,836096 ,79 ,9.4 
Valparaiso ,1960170 ,455 ,23.2 
Metropolitana ,8125072 ,6700 ,82.5 
O'Higgins ,991063 ,81 ,8.2 
Maule ,1131939 ,359 ,31.7 
Nuble ,511551 ,721 ,140.9 
Biobio ,1663696 ,688 ,41.4 
Araucania ,1014343 ,1144 ,112.8 
Los Rios ,405835 ,168 ,41.4 
LOs Lagos ,891440 ,453 ,50.8 
Aisen ,107297 ,5 ,4.7 
Magallanes ,178362 ,617 ,345.9 
Desconocido ,- ,1 ,- 
Total pais ,19458310 ,12214 ,62.8 
