,,,,,Numero,deCasos,segunFecha,deIniciode,Sintomas,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE 13 ,SE SE SE SE SE 14 15 16 17 18 
Algarrobo ,15174 ,10 ,65.9 ,1 ,6.6 ,1 ,6.6 ,0 O 1 4 ,4 ,O O 0 1 O 
Cabildo ,20663 ,3 ,14.5 ,3 ,14.5 ,3 ,14.5 ,O O O O ,O ,O O O 3 O 
Calera ,53591 ,22 ,41.1 ,9 ,16.8 ,9 ,16.8 ,O O O 1 ,6 ,2 4 7 2 O 
Calle Larga ,16482 ,6 ,36.4 ,1 ,6.1 ,1 ,6.1 ,O O O O ,O ,2 3 1 O 0 
Cartagena ,25357 ,6 ,23.7 ,4 ,15.8 ,4 ,15.8 ,O O O O ,O ,2 O 3 1 O 
Casablanca ,29170 ,3 ,10.3 ,O ,0.0 ,O ,0.0 ,O O O 1 ,O ,1 1 O O O 
Catemu ,15213 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,O ,O O O O O 
Con Con ,45889 ,14 ,30.5 ,4 ,8.7 ,4 ,8.7 ,O O O 2 ,6 ,1 1 O 4 O 
EI Quisco ,17742 ,11 ,62.0 ,4 ,22.5 ,3 ,16.9 ,O O O 1 ,O ,4 2 4 O O 
EI Tabo ,14338 ,9 ,62.8 ,2 ,13.9 ,2 ,13.9 ,O 0 O O ,5 ,O 2 2 O 0 
Hijuelas ,19099 ,1 ,5.2 ,O ,0.0 ,O ,0.0 ,O O O O ,O ,O 1 O O 0 
Isla de Pascua ,8277 ,5 ,60.4 ,O ,0.0 ,O ,0.0 ,O O O 2 ,1 ,2 O O O O 
Juan Fernandez ,1033 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,O ,O O 0 O O 
La Cruz ,25321 ,8 ,31.6 ,O ,0.0 ,O ,0.0 ,O 1 O 1 ,2 ,3 1 0 0 O 
La Ligua ,37739 ,2 ,5.3 ,O ,0.0 ,O ,0.0 ,O 0 O 1 ,O ,1 O O O 0 
Limache ,49931 ,23 ,46.1 ,4 ,8.0 ,4 ,8.0 ,O 0 O 3 ,O ,5 9 6 O O 
Llaillay ,26533 ,2 ,7.5 ,O ,0.0 ,O ,0.0 ,O O O 1 ,1 ,O O O O O 
LOs Andes& ,68093 ,7 ,10.3 ,O ,0.0 ,O ,0.0 ,0 O O 2 ,2 ,O 3 O O O 
Nogales ,23490 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,O ,O O O O O 
Olmue ,19266 ,2 ,10.4 ,O ,0.0 ,O ,0.0 ,O 0 O O ,O ,2 O 0 O O 
