Panquehue,7633,O,0.0,O,0.0,O,0.0,0,OO,OOO,O,O
Papudo ,6201 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O ,O O ,O 0 O ,O ,O 
Petorca ,10558 ,6 ,56.8 ,0 ,0.0 ,0 ,0.0 ,O ,0 0 ,1 4 1 ,0 ,0 
Puchuncavi ,20071 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O ,O O ,O O O ,O ,0 
Putaendo ,17645 ,5 ,28.3 ,2 ,11.3 ,2 ,11.3 ,O ,O O ,1 O O ,1 ,3 
Quillota ,97572 ,22 ,22.5 ,2 ,2.0 ,2 ,2.0 ,0 ,1 O ,3 7 3 ,6 ,1 
Quilpue ,167085 ,30 ,18.0 ,3 ,1.8 ,3 ,1.8 ,O ,1 3 ,3 8 7 ,4 ,4 
Quintero ,36135 ,9 ,24.9 ,6 ,16.6 ,6 ,16.6 ,O ,0 O ,3 O O ,O ,6 
Rinconada ,11263 ,2 ,17.8 ,O ,0.0 ,0 ,0.0 ,O ,0 0 ,O O 2 ,0 ,0 
San Antonio ,96761 ,53 ,54.8 ,21 ,21.7 ,20 ,20.7 ,O ,0 O ,O 5 14 ,10 ,18 
San Esteban ,20643 ,3 ,14.5 ,3 ,14.5 ,3 ,14.5 ,O ,O O ,O O O ,O ,1 
San Felipe ,83494 ,6 ,7.2 ,O ,0.0 ,O ,0.0 ,O ,O O ,3 2 1 ,0 ,O 
Santa Maria ,16367 ,2 ,12.2 ,O ,0.0 ,O ,0.0 ,O ,O O ,O 2 O ,O ,O 
Santo Domingo ,11934 ,17 ,142.5 ,3 ,25.1 ,3 ,25.1 ,0 ,0 2 ,1 O 6 ,4 ,4 
Valparaiso ,315732 ,68 ,21.5 ,11 ,3.5 ,11 ,3.5 ,O ,1 2 ,10 15 11 ,16 ,10 
Villa Alemana ,139310 ,15 ,10.8 ,2 ,1.4 ,2 ,1.4 ,O ,O 1 ,7 3 2 ,O ,1 
Vina del Mar& ,361371 ,109 ,30.2 ,18 ,5.0 ,17 ,4.7 ,O ,0 6 ,21 28 21 ,12 ,16 
Zapallar ,7994 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,O O ,O O O ,O ,O 
Total ,1960170 ,481 ,24.5 ,103 ,5.3 ,100 ,5.1 ,0 ,4 15 ,72 101 93 ,80 ,87 
