,,,,,Numero,deCasos,segunFecha,deIniciode,Sintomas,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE SE 12 13 14 ,SE 15 ,SE SE SE 16 17 18 
Cauquenes ,44143 ,13 ,29.4 ,6 ,13.6 ,6 ,13.6 ,0 O O ,O 2 3 ,1 ,5 2 O 
Chanco ,9331 ,3 ,32.2 ,2 ,21.4 ,2 ,21.4 ,O O O ,O 1 O ,O ,1 1 O 
Colbun ,22565 ,6 ,26.6 ,O ,0.0 ,O ,0.0 ,O O O ,O 3 3 ,O ,O O O 
Constitucion ,50348 ,19 ,37.7 ,8 ,15.9 ,8 ,15.9 ,O O O ,O 3 3 ,5 ,7 1 0 
Curepto ,9426 ,8 ,84.9 ,3 ,31.8 ,3 ,31.8 ,O O O ,O O 3 ,2 ,3 O O 
Curico ,163626 ,37 ,22.6 ,9 ,5.5 ,9 ,5.5 ,O 1 2 ,3 6 3 ,12 ,8 2 O 
Empedrado ,4206 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O O O ,O ,O O O 
Hualane ,10222 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O O O ,O ,O O O 
Licanten ,6989 ,2 ,28.6 ,1 ,14.3 ,1 ,14.3 ,O O O ,O O 1 ,O ,1 O 0 
Linares ,101073 ,24 ,23.7 ,5 ,4.9 ,4 ,4.0 ,1 0 O ,2 5 5 ,4 ,6 1 0 
Longavi ,32810 ,4 ,12.2 ,1 ,3.0 ,1 ,3.0 ,O O O ,1 O 1 ,1 ,1 O 0 
Maule ,60000 ,22 ,36.7 ,12 ,20.0 ,12 ,20.0 ,O O O ,1 1 2 ,5 ,11 2 O 
Molina ,49800 ,7 ,14.1 ,3 ,6.0 ,2 ,4.0 ,O O O ,1 2 O ,1 ,3 O O 
Parral ,44544 ,9 ,20.2 ,1 ,2.2 ,1 ,2.2 ,O 0 O ,1 3 2 ,2 ,1 0 O 
Pelarco ,9083 ,5 ,55.0 ,O ,0.0 ,O ,0.0 ,O 0 O ,O O O ,3 ,2 O 0 
Pelluhue ,8092 ,2 ,24.7 ,0 ,0.0 ,0 ,0.0 ,O 0 O ,1 O O ,1 ,O O O 
Pencahue ,8601 ,3 ,34.9 ,2 ,23.3 ,2 ,23.3 ,O O O ,O O O ,O ,3 O O 
Rauco ,11248 ,2 ,17.8 ,O ,0.0 ,O ,0.0 ,0 O O ,O 1 1 ,O ,O O O 
Retiro ,21071 ,1 ,4.7 ,O ,0.0 ,O ,0.0 ,O O O ,O O O ,1 ,O O O 
Rio Claro ,14753 ,7 ,47.4 ,1 ,6.8 ,1 ,6.8 ,O 0 O ,2 O 1 ,1 ,3 O 0 
