Romera,16170,13,80.4,10,61.8,9,55.7,0,O,O,1,2O,O,10OO
Sagrada Familia ,19469 ,2 ,10.3 ,1 ,5.1 ,1 ,5.1 ,O ,O ,O ,O ,0 1 ,0 ,1 0 O 
San Clemente ,46292 ,9 ,19.4 ,6 ,13.0 ,6 ,13.0 ,O ,0 ,0 ,0 ,0 0 ,2 ,7 O 0 
San Javier ,49451 ,20 ,40.4 ,5 ,10.1 ,5 ,10.1 ,O ,0 ,O ,O ,2 7 ,4 ,7 O O 
San Rafael ,9959 ,3 ,30.1 ,1 ,10.0 ,1 ,10.0 ,O ,O ,O ,O ,1 O ,1 ,1 O O 
Talca ,236724 ,149 ,62.9 ,73 ,30.8 ,72 ,30.4 ,0 ,3 ,9 ,13 ,19 11 ,15 ,71 8 O 
Teno ,30850 ,2 ,6.5 ,1 ,3.2 ,O ,0.0 ,O ,O ,O ,O ,O O ,1 ,1 O O 
Vichuquen ,4381 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0 ,O ,O ,0 O ,O ,O O O 
Villa Alegre ,17512 ,2 ,11.4 ,1 ,5.7 ,1 ,5.7 ,O ,0 ,0 ,0 ,O O ,1 ,1 O O 
Yerbas Buenas ,19200 ,1 ,5.2 ,0 ,0.0 ,O ,0.0 ,O ,0 ,O ,O ,O O ,1 ,O 0 0 
Total ,1131939 ,375 ,33.1 ,152 ,13.4 ,147 ,13.0 ,1 ,4 ,11 ,26 ,51 47 ,64 ,154 17 0 
