,,,,,,Numerode,CasossegunFecha,deInicio,de,Sintomas,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE 12 ,SE SE 13 14 ,,SE SE SE SE 15 16 17 18 
Bulnes ,22607 ,60 ,265.4 ,7 ,31.0 ,7 ,31.0 ,O 0 0 ,9 ,27 10 ,,7 7 O O 
Chillan& ,198624 ,405 ,203.9 ,31 ,15.6 ,31 ,15.6 ,O 1 28 ,116 ,120 75 ,,33 23 9 O 
Chillan Viejo& ,33827 ,55 ,162.6 ,3 ,8.9 ,3 ,8.9 ,O 0 5 ,6 ,20 7 ,,13 3 1 O 
Cobquecura ,5275 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O 0 ,O ,0 O ,,O O O 0 
Coelemu ,16845 ,4 ,23.7 ,O ,0.0 ,O ,0.0 ,O O 0 ,O ,2 2 ,,O O O O 
Coihueco ,28375 ,25 ,88.1 ,12 ,42.3 ,12 ,42.3 ,O O 0 ,3 ,2 3 ,,4 10 3 O 
EI Carmen& ,12334 ,3 ,24.3 ,O ,0.0 ,O ,0.0 ,O O O ,2 ,O 1 ,,O O O O 
Ninhue ,5414 ,4 ,73.9 ,1 ,18.5 ,1 ,18.5 ,O O 0 ,O ,O 2 ,,0 2 O O 
Niquen ,11567 ,3 ,25.9 ,O ,0.0 ,O ,0.0 ,O O O ,0 ,O 1 ,,2 O 0 O 
Pemuco8 ,8639 ,6 ,69.5 ,O ,0.0 ,0 ,0.0 ,0 O 0 ,1 ,0 4 ,,1 0 O 0 
Pinto& ,11880 ,12 ,101.0 ,1 ,8.4 ,1 ,8.4 ,O 0 O ,2 ,3 5 ,,1 1 0 0 
Portezuelo ,4940 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O ,O O ,,O O O O 
Quillon ,18777 ,28 ,149.1 ,1 ,5.3 ,1 ,5.3 ,O O 1 ,8 ,9 8 ,,1 O 1 O 
Quirihue ,12192 ,4 ,32.8 ,1 ,8.2 ,1 ,8.2 ,O 0 0 ,O ,1 2 ,,O 1 O 0 
Ranquil& ,6261 ,10 ,159.7 ,O ,0.0 ,O ,0.0 ,O O O ,1 ,3 6 ,,0 O O O 
San Carlos& ,56252 ,34 ,60.4 ,5 ,8.9 ,5 ,8.9 ,O O 2 ,7 ,9 9 ,,2 2 3 O 
San Fabian8 ,4654 ,8 ,171.9 ,1 ,21.5 ,1 ,21.5 ,O O 0 ,3 ,3 1 ,,O 1 O O 
San Ignacio ,16624 ,6 ,36.1 ,1 ,6.0 ,1 ,6.0 ,O O O ,2 ,2 1 ,,O O 1 O 
San Nicolas& ,12172 ,16 ,131.4 ,O ,0.0 ,O ,0.0 ,O O 1 ,2 ,6 4 ,,3 O O O 
Treguaco ,5696 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O 0 ,O ,O O ,,O 0 O O 
Yungay8 ,18596 ,48 ,258.1 ,4 ,21.5 ,4 ,21.5 ,O O O ,5 ,14 21 ,,3 4 1 0 
