Region,Poblacion,Casosnuevos(*),Casostotales,Tasaincidenciaacumulada
Arica y Parinacota ,252110 ,13 ,265 ,105.1 
Tarapaca ,382773 ,8 ,164 ,42.8 
Antofagasta ,691854 ,14 ,457 ,66.1 
Atacama ,314709 ,6 ,35 ,11.1 
Coquimbo ,836096 ,1 ,74 ,8.9 
Valparaiso ,1960170 ,25 ,485 ,24.7 
Metropolitana ,8125072 ,362 ,7858 ,96.7 
O'Higgins ,991063 ,2 ,94 ,9.5 
Maule ,1131939 ,9 ,363 ,32.1 
Nuble ,511551 ,10 ,741 ,144.9 
Biobio ,1663696 ,3 ,706 ,42.4 
Araucania ,1014343 ,20 ,1236 ,121.9 
Los Rios ,405835 ,2 ,180 ,44.4 
LOs Lagos ,891440 ,4 ,477 ,53.5 
Aisen ,107297 ,O ,7 ,6.5 
Magallanes ,178362 ,3 ,671 ,376.2 
Total pais ,19458310 ,482 ,13813 ,71.0 
