Pucon,29782,14,47.0,3,10.1,3,10.1,OO13,O,4,3,120
Puren ,12188 ,2 ,16.4 ,O ,0.0 ,O ,0.0 ,O O O O ,2 ,O ,0 ,O O 0 
Renaico ,10833 ,4 ,36.9 ,2 ,18.5 ,2 ,18.5 ,O O O O ,1 ,1 ,0 ,2 0 0 
Saavedra ,12793 ,16 ,125.1 ,6 ,46.9 ,6 ,46.9 ,O O O O ,O ,1 ,5 ,7 3 O 
Temuco& ,302931 ,665 ,219.5 ,60 ,19.8 ,59 ,19.5 ,O 4 27 143 ,162 ,149 ,111 ,56 13 O 
Teodoro Schmidt ,15786 ,6 ,38.0 ,1 ,6.3 ,1 ,6.3 ,O O O 2 ,2 ,O ,1 ,1 O O 
Tolten ,10055 ,6 ,59.7 ,O ,0.0 ,O ,0.0 ,O O O 3 ,1 ,2 ,O ,O O O 
Traiguen ,19314 ,3 ,15.5 ,1 ,5.2 ,1 ,5.2 ,O O O O ,O ,2 ,O ,1 O 0 
Victoria ,35467 ,58 ,163.5 ,41 ,115.6 ,40 ,112.8 ,O O O 2 ,7 ,3 ,3 ,29 14 O 
Vilcun ,30766 ,39 ,126.8 ,2 ,6.5 ,2 ,6.5 ,0 O O 6 ,10 ,14 ,7 ,2 O 0 
Villarrica ,59103 ,19 ,32.1 ,O ,0.0 ,O ,0.0 ,O O O 2 ,10 ,6 ,1 ,O O O 
,,,,,,,,,,,,
