,,,,,,Numerode,CasossegunFecha,deIniciode
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,9 10 11 12 
Algarrobo ,15174 ,12 ,79.1 ,2 ,13.2 ,1 ,6.6 ,
Cabildo ,20663 ,5 ,24.2 ,2 ,9.7 ,2 ,9.7 ,O O O O 
Calera ,53591 ,22 ,41.1 ,O ,0.0 ,O ,0.0 ,0 O O 1 
Calle Larga ,16482 ,10 ,60.7 ,4 ,24.3 ,4 ,24.3 ,
Cartagena ,25357 ,14 ,55.2 ,6 ,23.7 ,6 ,23.7 ,
Casablanca ,29170 ,4 ,13.7 ,1 ,3.4 ,1 ,3.4 ,O O O 1 
Catemu ,15213 ,1 ,6.6 ,1 ,6.6 ,1 ,6.6 ,O O O O 
Con Con& ,45889 ,23 ,50.1 ,6 ,13.1 ,6 ,13.1 ,O O O 2 
EI Quisco ,17742 ,16 ,90.2 ,5 ,28.2 ,5 ,28.2 ,
EI Tabo ,14338 ,14 ,97.6 ,1 ,7.0 ,1 ,7.0 ,O 0 0 O 
Hijuelas ,19099 ,1 ,5.2 ,O ,0.0 ,O ,0.0 ,O O 0 O 
Isla de Pascua ,8277 ,5 ,60.4 ,O ,0.0 ,O ,0.0 ,O O O 2 
Juan Fernandez ,1033 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,
La Cruz ,25321 ,14 ,55.3 ,6 ,23.7 ,6 ,23.7 ,0 1 0 1 
La Ligua ,37739 ,3 ,7.9 ,1 ,2.6 ,1 ,2.6 ,0 O O 1 
Limache ,49931 ,25 ,50.1 ,2 ,4.0 ,2 ,4.0 ,
Llaillay ,26533 ,4 ,15.1 ,2 ,7.5 ,2 ,7.5 ,0 O O 1 
Los Andes ,68093 ,15 ,22.0 ,8 ,11.7 ,8 ,11.7 ,
Nogales ,23490 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 
Olmue ,19266 ,2 ,10.4 ,0 ,0.0 ,0 ,0.0 ,
Panquehue ,7633 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,
