Papudo,6201,O,0.0,0,0.0,0,0.0,00OO,OOOO,OO
Petorca ,10558 ,6 ,56.8 ,O ,0.0 ,O ,0.0 ,O O O 1 ,4 1 O O ,O 0 
Puchuncavi ,20071 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O 0 0 O ,O 0 0 O ,O 0 
Putaendo ,17645 ,7 ,39.7 ,2 ,11.3 ,2 ,11.3 ,0 O 0 1 ,O O 1 3 ,2 O 
Quillota ,97572 ,28 ,28.7 ,5 ,5.1 ,5 ,5.1 ,O 1 O 3 ,7 3 6 1 ,4 1 
Quilpue ,167085 ,50 ,29.9 ,12 ,7.2 ,12 ,7.2 ,0 1 3 3 ,8 7 4 4 ,10 8 
Quintero8 ,36135 ,14 ,38.7 ,4 ,11.1 ,4 ,11.1 ,O 0 0 3 ,1 0 0 6 ,2 2 
Rinconada8 ,11263 ,3 ,26.6 ,0 ,0.0 ,O ,0.0 ,0 0 0 O ,O 3 O 0 ,O 0 
San Antonio ,96761 ,125 ,129.2 ,58 ,59.9 ,57 ,58.9 ,O 0 O O ,5 14 10 21 ,33 41 
San Esteban ,20643 ,5 ,24.2 ,2 ,9.7 ,2 ,9.7 ,O O O O ,O O O 1 ,2 1 
San Felipe& ,83494 ,12 ,14.4 ,4 ,4.8 ,4 ,4.8 ,O O O 3 ,2 2 O O ,2 2 
Santa Maria ,16367 ,19 ,116.1 ,12 ,73.3 ,12 ,73.3 ,O O O O ,2 O 0 1 ,5 11 
Santo Domingo& ,11934 ,21 ,176.0 ,3 ,25.1 ,3 ,25.1 ,0 0 2 1 ,O 6 4 4 ,3 1 
Valparaiso8 ,315732 ,169 ,53.5 ,86 ,27.2 ,83 ,26.3 ,0 1 2 10 ,15 12 17 13 ,28 55 
Villa Alemana& ,139310 ,36 ,25.8 ,18 ,12.9 ,18 ,12.9 ,0 0 1 7 ,3 3 O 1 ,5 13 
Vina del Mar ,361371 ,168 ,46.5 ,52 ,14.4 ,51 ,14.1 ,O O 6 21 ,27 21 12 18 ,20 37 
Zapallar ,7994 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O 0 O O ,O O O 0 ,O O 
,,,,,,,,,,
