,,,,,,,NumerodeCasos,segunFechadeInicio,deSintomas,,,,,
Region ,Poblacion ,Numero de Casos Confirmados ,Task incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE 12 13 ,SE 14 ,SE 15 ,SE 16 ,SE SE 17 18 ,SE 19 
Alhue ,7405 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O 0 0 ,O 0 ,0 ,O ,0 ,0 O ,0 
Buin& ,109641 ,114 ,104.0 ,47 ,42.9 ,46 ,42.0 ,O 0 O ,4 17 ,8 ,14 ,14 ,18 33 ,6 
Calera de Tango ,28525 ,21 ,73.6 ,5 ,17.5 ,5 ,17.5 ,0 0 0 ,4 4 ,1 ,1 ,5 ,1 4 ,1 
Cerrillos8 ,88956 ,308 ,346.2 ,202 ,227.1 ,200 ,224.8 ,0 1 2 ,4 10 ,13 ,19 ,20 ,64 166 ,9 
Cerro Navia ,142465 ,284 ,199.3 ,125 ,87.7 ,125 ,87.7 ,0 0 9 ,12 12 ,12 ,36 ,40 ,66 86 ,11 
Colina& ,180353 ,230 ,127.5 ,106 ,58.8 ,105 ,58.2 ,O 4 6 ,27 16 ,17 ,15 ,18 ,28 59 ,40 
Conchali ,139195 ,406 ,291.7 ,200 ,143.7 ,199 ,143.0 ,0 0 1 ,15 12 ,17 ,31 ,62 ,104 140 ,24 
Curacavi ,36430 ,25 ,68.6 ,9 ,24.7 ,9 ,24.7 ,0 0 1 ,2 4 ,4 ,4 ,O ,3 7 ,O 
EI Bosque ,172000 ,377 ,219.2 ,175 ,101.7 ,175 ,101.7 ,O O 2 ,14 21 ,27 ,45 ,44 ,78 130 ,16 
EI Monte ,40014 ,24 ,60.0 ,10 ,25.0 ,10 ,25.0 ,O O O ,1 1 ,6 ,4 ,0 ,7 5 ,0 
Estacion Central& ,206792 ,578 ,279.5 ,278 ,134.4 ,277 ,134.0 ,0 1 2 ,11 27 ,33 ,38 ,75 ,159 210 ,22 
Huechuraba8 ,112528 ,220 ,195.5 ,108 ,96.0 ,108 ,96.0 ,0 0 4 ,19 7 ,16 ,17 ,28 ,37 81 ,11 
Independencia8 ,142065 ,836 ,588.5 ,424 ,298.5 ,424 ,298.5 ,1 0 3 ,14 9 ,21 ,43 ,136 ,273 283 ,53 
Isla de Maipo ,40171 ,17 ,42.3 ,3 ,7.5 ,3 ,7.5 ,0 0 O ,2 1 ,6 ,2 ,0 ,3 3 ,0 
La Cisterna8 ,100434 ,205 ,204.1 ,92 ,91.6 ,92 ,91.6 ,0 0 0 ,10 11 ,15 ,18 ,23 ,52 68 ,8 
La Florida& ,402433 ,824 ,204.8 ,432 ,107.3 ,427 ,106.1 ,0 2 12 ,28 57 ,56 ,61 ,91 ,157 305 ,55 
La Granja& ,122557 ,276 ,225.2 ,156 ,127.3 ,155 ,126.5 ,O 0 1 ,6 13 ,27 ,19 ,15 ,59 126 ,10 
La Pintana8 ,189335 ,483 ,255.1 ,230 ,121.5 ,228 ,120.4 ,0 0 3 ,6 17 ,27 ,43 ,80 ,127 151 ,29 
La Reina& ,100252 ,173 ,172.6 ,83 ,82.8 ,83 ,82.8 ,1 0 12 ,14 11 ,14 ,7 ,10 ,36 56 ,12 
Lampa ,126898 ,172 ,135.5 ,86 ,67.8 ,86 ,67.8 ,O 0 0 ,8 13 ,14 ,11 ,17 ,38 56 ,15 
Las Condes& ,330759 ,626 ,189.3 ,239 ,72.3 ,235 ,71.0 ,0 17 59 ,121 65 ,37 ,28 ,24 ,55 164 ,55 
