LoBarnechea,124076,381,307.1,165,133.0,165,133.0,0214,5227,16,34,34,63108,30
Lo Espejo ,103865 ,222 ,213.7 ,104 ,100.1 ,104 ,100.1 ,0 0 1 ,4 7 ,22 ,26 ,21 ,52 69 ,20 
Lo Prado& ,104403 ,258 ,247.1 ,128 ,122.6 ,127 ,121.6 ,O 1 2 ,5 19 ,12 ,20 ,29 ,92 69 ,9 
Macul& ,134635 ,272 ,202.0 ,146 ,108.4 ,146 ,108.4 ,0 1 3 ,13 21 ,16 ,12 ,16 ,63 115 ,12 
Maipu& ,578605 ,718 ,124.1 ,261 ,45.1 ,260 ,44.9 ,0 0 13 ,46 66 ,76 ,72 ,110 ,120 186 ,29 
Maria Pinto ,14926 ,3 ,20.1 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,O 0 ,0 ,1 ,0 ,2 0 ,0 
Melipilla8 ,141612 ,119 ,84.0 ,60 ,42.4 ,60 ,42.4 ,O 1 1 ,4 5 ,5 ,8 ,21 ,30 43 ,1 
Nunoa& ,250192 ,435 ,173.9 ,125 ,50.0 ,125 ,50.0 ,1 1 26 ,52 37 ,46 ,44 ,61 ,62 84 ,21 
Padre Hurtado& ,74188 ,79 ,106.5 ,33 ,44.5 ,33 ,44.5 ,O 1 0 ,5 9 ,5 ,11 ,7 ,15 23 ,3 
Paine& ,82766 ,47 ,56.8 ,31 ,37.5 ,31 ,37.5 ,0 1 1 ,2 0 ,4 ,4 ,3 ,5 18 ,9 
Pedro Aguirre Cerda& ,107803 ,294 ,272.7 ,130 ,120.6 ,130 ,120.6 ,O O 3 ,4 14 ,22 ,44 ,32 ,70 94 ,11 
Penaflor ,101058 ,87 ,86.1 ,30 ,29.7 ,29 ,28.7 ,0 1 4 ,3 9 ,4 ,7 ,14 ,24 20 ,1 
Penalolen& ,266798 ,570 ,213.6 ,284 ,106.4 ,284 ,106.4 ,0 3 9 ,25 33 ,37 ,50 ,62 ,104 214 ,33 
Pirque ,30433 ,51 ,167.6 ,25 ,82.1 ,25 ,82.1 ,O 0 3 ,1 3 ,1 ,5 ,3 ,14 21 ,0 
Providencia8 ,157749 ,309 ,195.9 ,99 ,62.8 ,99 ,62.8 ,0 3 29 ,62 20 ,21 ,30 ,30 ,31 68 ,15 
Pudahuel8 ,253139 ,372 ,147.0 ,165 ,65.2 ,165 ,65.2 ,1 1 2 ,20 21 ,30 ,35 ,37 ,109 103 ,13 
Puente Alto& ,645909 ,1404 ,217.4 ,535 ,82.8 ,533 ,82.5 ,1 1 7 ,55 95 ,156 ,172 ,224 ,242 404 ,47 
Quilicura ,254694 ,758 ,297.6 ,354 ,139.0 ,351 ,137.8 ,O 4 3 ,20 24 ,40 ,38 ,126 ,238 232 ,33 
Quinta Norma ,136368 ,377 ,276.5 ,153 ,112.2 ,153 ,112.2 ,0 2 4 ,13 24 ,35 ,47 ,44 ,85 111 ,12 
Recoleta& ,190075 ,889 ,467.7 ,534 ,280.9 ,534 ,280.9 ,0 0 5 ,15 17 ,30 ,46 ,97 ,246 368 ,65 
Renca ,160847 ,342 ,212.6 ,166 ,103.2 ,166 ,103.2 ,O 0 4 ,7 11 ,7 ,30 ,59 ,97 116 ,11 
San Bernardo8 ,334836 ,683 ,204.0 ,269 ,80.3 ,268 ,80.0 ,1 2 6 ,20 35 ,64 ,71 ,116 ,135 203 ,30 
San Joaquin& ,103485 ,395 ,381.7 ,216 ,208.7 ,216 ,208.7 ,1 0 1 ,14 22 ,14 ,36 ,38 ,72 142 ,55 
San Jose de Maipo& ,18644 ,35 ,187.7 ,24 ,128.7 ,23 ,123.4 ,0 0 1 ,1 1 ,2 ,1 ,1 ,4 17 ,7 
San Miguel& ,133059 ,350 ,263.0 ,153 ,115.0 ,153 ,115.0 ,O 0 3 ,24 21 ,24 ,43 ,42 ,65 101 ,27 
San Pedro8 ,11953 ,12 ,100.4 ,5 ,41.8 ,5 ,41.8 ,O 0 0 ,0 0 ,0 ,0 ,2 ,7 3 ,0 
San Ramon& ,86510 ,327 ,378.0 ,198 ,228.9 ,198 ,228.9 ,0 0 1 ,2 11 ,8 ,11 ,40 ,84 145 ,25 
Santiago8 ,503147 ,1666 ,331.1 ,785 ,156.0 ,783 ,155.6 ,2 2 27 ,94 93 ,132 ,153 ,163 ,328 563 ,109 
