Peumo,14952,3,20.1,2,13.4,2,13.4,0,O0O1OO
Pichidegua ,20743 ,1 ,4.8 ,1 ,4.8 ,1 ,4.8 ,0 ,O O O O O O 
Pichilemu ,17882 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,0 ,0 0 O O O O 
Placilla ,9164 ,1 ,10.9 ,O ,0.0 ,O ,0.0 ,O ,0 O O 1 O O 
Pumanque ,3531 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 ,O O O O O O 
Quinta de Tilcoco ,13877 ,1 ,7.2 ,0 ,0.0 ,O ,0.0 ,O ,O O 1 O O O 
Rancagua& ,265211 ,61 ,23.0 ,29 ,10.9 ,29 ,10.9 ,O ,0 O 8 4 6 3 
Rengo& ,63710 ,9 ,14.1 ,5 ,7.8 ,5 ,7.8 ,0 ,0 O 1 1 O O 
Requinoa ,30371 ,5 ,16.5 ,2 ,6.6 ,2 ,6.6 ,0 ,0 O 2 O O O 
San Fernando8 ,78642 ,6 ,7.6 ,2 ,2.5 ,2 ,2.5 ,O ,O 0 2 O 1 O 
San Vicente ,50617 ,11 ,21.7 ,5 ,9.9 ,5 ,9.9 ,0 ,O 0 O 3 1 O 
Santa Cruz ,41096 ,2 ,4.9 ,0 ,0.0 ,0 ,0.0 ,0 ,0 O O 1 O O 
Total ,991063 ,168 ,17.0 ,72 ,7.3 ,72 ,7.3 ,0 ,0 1 20 14 10 10 
