,,,,,,NumerodeCasos,segunFecha,deIniciode,Sintomas
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE 12 13 
Bulnes ,22607 ,77 ,340.6 ,14 ,61.9 ,14 ,,,
Chillan8 ,198624 ,418 ,210.4 ,14 ,7.0 ,13 ,6.5 ,O 1 27 ,116 116 
Chillan Viejo& ,33827 ,55 ,162.6 ,0 ,0.0 ,0 ,0.0 ,0 O 5 ,7 19 
Cobquecura ,5275 ,0 ,0.0 ,0 ,0.0 ,O ,,,
Coelemu ,16845 ,4 ,23.7 ,O ,0.0 ,O ,,,
Coihueco ,28375 ,42 ,148.0 ,5 ,17.6 ,5 ,17.6 ,O 0 O ,3 3 
EI Carmen ,12334 ,3 ,24.3 ,O ,0.0 ,O ,0.0 ,O O O ,2 O 
Ninhue ,5414 ,4 ,73.9 ,0 ,0.0 ,O ,0.0 ,O O O ,O O 
Niquen ,11567 ,3 ,25.9 ,O ,0.0 ,0 ,,,
Pemuco ,8639 ,6 ,69.5 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,1 O 
Pinto ,11880 ,12 ,101.0 ,O ,0.0 ,0 ,,,
Portezuelo ,4940 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O 0 O ,O O 
Quillon ,18777 ,32 ,170.4 ,2 ,10.7 ,2 ,10.7 ,O O 1 ,8 9 
Quirihue ,12192 ,4 ,32.8 ,O ,0.0 ,O ,,,
Ranquil ,6261 ,10 ,159.7 ,0 ,0.0 ,O ,0.0 ,O O O ,1 3 
San Carlos ,56252 ,37 ,65.8 ,2 ,3.6 ,2 ,,,
San Fabian ,4654 ,8 ,171.9 ,O ,0.0 ,O ,,,
San Ignacio ,16624 ,11 ,66.2 ,4 ,24.1 ,3 ,,,
San Nicolas& ,12172 ,15 ,123.2 ,0 ,0.0 ,O ,0.0 ,O O O ,2 5 
Treguaco ,5696 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,0 0 O ,O O 
Yungay ,18596 ,55 ,295.8 ,4 ,21.5 ,4 ,,,
Total ,511551 ,796 ,155.6 ,45 ,8.8 ,43 ,,,
