Quilaco,4179,O,0.0,O,0.0,O,0.0,00O,OO,O,OOOO
Quilleco ,10032 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O O ,O ,O O 0 O 
San Pedro de la Paz& ,145906 ,109 ,74.7 ,6 ,4.1 ,6 ,4.1 ,0 0 6 ,34 17 ,24 ,8 11 3 2 
San Rosendo ,3611 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O O ,O ,O O O O 
Santa Barbara ,14592 ,2 ,13.7 ,O ,0.0 ,O ,0.0 ,O O O ,O 2 ,O ,O O O O 
Santa Juana ,14779 ,2 ,13.5 ,O ,0.0 ,O ,0.0 ,0 O O ,0 O ,1 ,O 0 1 O 
Talcahuano& ,158345 ,118 ,74.5 ,22 ,13.9 ,22 ,13.9 ,O 0 1 ,16 16 ,17 ,14 14 20 16 
Tirua ,11019 ,4 ,36.3 ,O ,0.0 ,O ,0.0 ,0 0 0 ,1 2 ,1 ,O 0 O O 
Tome ,58729 ,50 ,85.1 ,1 ,1.7 ,1 ,1.7 ,0 0 O ,9 11 ,12 ,7 9 1 1 
Tucapel ,15205 ,1 ,6.6 ,O ,0.0 ,O ,0.0 ,O O O ,O O ,1 ,O O O O 
Yumbel ,22132 ,10 ,45.2 ,4 ,18.1 ,4 ,18.1 ,O O O ,O 5 ,O ,O 1 1 2 
,,,,,,,,,,,
Total ,1663696 ,839 ,50.4 ,117 ,7.0 ,117 ,7.0 ,1 2 28 ,138 157 ,147 ,97 99 63 63 
