Puren&,12188,6,49.2,1,8.2,1,8.2,OOO,O2,O,O,2,11O
Renaico8 ,10833 ,12 ,110.8 ,6 ,55.4 ,6 ,55.4 ,O O O ,O O ,1 ,3 ,1 ,1 4 2 
Saavedra& ,12793 ,42 ,328.3 ,15 ,117.3 ,15 ,117.3 ,O O 1 ,1 O ,1 ,5 ,8 ,17 8 1 
Temuco& ,302931 ,711 ,234.7 ,36 ,11.9 ,35 ,11.6 ,O 4 26 ,155 177 ,132 ,107 ,58 ,23 17 12 
Teodoro Schmidt& ,15786 ,5 ,31.7 ,O ,0.0 ,O ,0.0 ,O O O ,1 2 ,O ,1 ,1 ,O O O 
Tolten ,10055 ,8 ,79.6 ,O ,0.0 ,O ,0.0 ,O O O ,4 2 ,2 ,O ,O ,0 O O 
Traiguen ,19314 ,2 ,10.4 ,O ,0.0 ,O ,0.0 ,O O 0 ,O O ,1 ,O ,1 ,0 0 0 
Victoria8 ,35467 ,78 ,219.9 ,15 ,42.3 ,15 ,42.3 ,O O 1 ,2 9 ,2 ,3 ,28 ,21 11 1 
Vilcun& ,30766 ,48 ,156.0 ,6 ,19.5 ,6 ,19.5 ,O O O ,6 11 ,14 ,7 ,3 ,5 2 0 
Villarrica ,59103 ,21 ,35.5 ,1 ,1.7 ,1 ,1.7 ,O O O ,2 10 ,6 ,1 ,O ,1 O 1 
Total ,1014343 ,1399 ,137.9 ,127 ,12.5 ,126 ,12.4 ,1 5 32 ,217 292 ,238 ,194 ,195 ,132 63 30 
