,,,,,,Numerode,Casossegun,FechadeIniciode,Sintomas,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE 13 14 ,SE 15 ,SE SE SE SE 16 17 18 19 
Antartica ,137 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,O O ,O ,O O O O 
Cabo de Hornos ,1983 ,19 ,958.1 ,O ,0.0 ,O ,0.0 ,O O 2 7 ,7 1 ,2 ,O 0 O O 
Laguna Blanca ,264 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 O O O ,O 0 ,O ,O O O O 
Natales ,23782 ,9 ,37.8 ,1 ,4.2 ,1 ,4.2 ,O O 1 3 ,2 O ,2 ,O O 1 O 
Porvenir ,7323 ,9 ,122.9 ,1 ,13.7 ,1 ,13.7 ,O O O O ,3 1 ,2 ,2 O O 1 
Primavera ,694 ,1 ,144.1 ,O ,0.0 ,O ,0.0 ,O O O O ,O O ,1 ,O O O O 
Punta Arenas& ,141984 ,825 ,581.1 ,147 ,103.5 ,146 ,102.8 ,2 1 6 62 ,121 148 ,152 ,131 82 94 26 
Rio Verde ,211 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,O O ,O ,O O O O 
San Gregorio ,681 ,1 ,146.8 ,1 ,146.8 ,1 ,146.8 ,O 0 0 O ,O 0 ,O ,O O O 1 
Timaukel ,282 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,O O ,O ,O 0 O O 
Torres del Paine ,1021 ,1 ,97.9 ,O ,0.0 ,O ,0.0 ,O O O O ,O O ,O ,1 O O O 
Total ,178362 ,865 ,485.0 ,150 ,84.1 ,149 ,83.5 ,2 1 9 72 ,133 150 ,159 ,134 82 95 28 
