ZonadeChile,Poblacion,NumerodeCasosAcumulados,Tasaincidenciaacumulada
Region de Arica y Parinacota ,252110 ,328 ,130.1 
Region de Tarapaca ,382773 ,459 ,119.9 
Region de Antofagasta ,691854 ,912 ,131.8 
Region de Atacama ,314709 ,90 ,28.6 
Region de Coquimbo ,836096 ,124 ,14.8 
Region de Valparaiso ,1960170 ,853 ,43.5 
Region Metropolitana de Santiago ,8125072 ,17925 ,220.6 
Region de Libertador General Bernardo O'Higgins ,991063 ,168 ,17.0 
Region del Maule ,1131939 ,439 ,38.8 
Region del Nuble ,511551 ,796 ,155.6 
Region del Biobio ,1663696 ,839 ,50.4 
Region de la Araucania ,1014343 ,1399 ,137.9 
Region de Los Rios ,405835 ,203 ,50.0 
Region de Los Lagos ,891440 ,525 ,58.9 
Region de Aysen del General Carlos Ibanez del Campo ,107297 ,5 ,4.7 
Region de Magallanes y la Antartica Chilena ,178362 ,865 ,485.0 
Desconocido ,- ,25 ,- 
Total pais ,19458310 ,25955 ,133.4 
