Panquehue,7633,0,0.0,0,0.0,0,0.0,000,00,0000,00
Papudo ,6201 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,0 0 ,0 0 0 0 ,0 0 
Petorca ,10558 ,7 ,66.3 ,1 ,9.5 ,1 ,9.5 ,0 0 0 ,1 4 ,1 0 0 0 ,0 1 
Puchuncavi ,20071 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,0 0 ,0 0 0 0 ,0 0 
Putaendo ,17645 ,12 ,68.0 ,5 ,28.3 ,5 ,28.3 ,0 0 0 ,1 0 ,0 1 3 2 ,2 3 
Quillota ,97572 ,31 ,31.8 ,6 ,6.1 ,6 ,6.1 ,0 1 0 ,3 7 ,3 6 1 4 ,2 4 
Quilpue ,167085 ,55 ,32.9 ,15 ,9.0 ,15 ,9.0 ,0 1 3 ,3 8 ,7 4 4 10 ,12 3 
Quintero ,36135 ,16 ,44.3 ,4 ,11.1 ,4 ,11.1 ,0 0 0 ,3 1 ,0 0 6 2 ,2 2 
Rinconada ,11263 ,3 ,26.6 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,0 0 ,3 0 0 0 ,0 0 
San Antonio& ,96761 ,147 ,151.9 ,49 ,50.6 ,48 ,49.6 ,0 0 0 ,0 5 ,14 10 22 35 ,51 10 
San Esteban ,20643 ,8 ,38.8 ,5 ,24.2 ,5 ,24.2 ,0 0 0 ,0 0 ,0 0 1 2 ,2 3 
San Felipe ,83494 ,17 ,20.4 ,7 ,8.4 ,7 ,8.4 ,0 0 0 ,3 2 ,2 0 0 2 ,2 6 
Santa Maria ,16367 ,20 ,122.2 ,9 ,55.0 ,9 ,55.0 ,0 0 0 ,0 2 ,0 0 1 5 ,11 1 
Santo Domingo& ,11934 ,25 ,209.5 ,3 ,25.1 ,3 ,25.1 ,0 0 2 ,1 0 ,6 4 4 4 ,4 0 
Valparaiso ,315732 ,190 ,60.2 ,82 ,26.0 ,78 ,24.7 ,0 1 2 ,10 15 ,12 17 13 28 ,62 30 
Villa Alemana ,139310 ,45 ,32.3 ,25 ,17.9 ,25 ,17.9 ,0 0 1 ,7 3 ,3 0 1 5 ,18 7 
Vina del Mar& ,361371 ,200 ,55.3 ,70 ,19.4 ,69 ,19.1 ,0 0 6 ,21 27 ,21 12 18 21 ,52 22 
Zapallar ,7994 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,0 0 ,0 0 0 0 ,0 0 
,,,,,,,,,,,
