,,,,,,,Numerode,Casossegun,Fecha,deInicio,deSintomas,,,,,
Region ,Poblacion ,Numero de Casos ,Tasa incidencia ,Numero de Casos ,Tasa de Incidencia ,Numero de Casos ,Tasa de Incidencia ,SE SE ,SE ,SE SE ,SE ,SE ,SE ,SE ,SE ,SE SE 
,,Confirmados ,acumulada ,Actuales ,Actual ,Activos ,Activos ,9 10 ,11 ,12 13 ,14 ,15 ,16 ,17 ,18 ,19 20 
Alhue ,7405 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 ,0 ,0 0 ,0 ,0 ,0 ,0 ,0 ,0 0 
Buin& ,109641 ,152 ,138.6 ,68 ,62.0 ,68 ,62.0 ,0 0 ,0 ,4 17 ,8 ,14 ,15 ,18 ,45 ,31 0 
Calera de Tango ,28525 ,23 ,80.6 ,7 ,24.5 ,7 ,24.5 ,0 0 ,0 ,4 4 ,1 ,1 ,5 ,1 ,4 ,3 0 
Cerrillos ,88956 ,329 ,369.8 ,187 ,210.2 ,186 ,209.1 ,0 1 ,2 ,4 10 ,13 ,19 ,20 ,64 ,172 ,24 0 
Cerro Navia& ,142465 ,387 ,271.6 ,167 ,117.2 ,167 ,117.2 ,0 0 ,9 ,12 12 ,12 ,36 ,40 ,76 ,146 ,44 0 
Colina& ,180353 ,289 ,160.2 ,149 ,82.6 ,149 ,82.6 ,0 4 ,6 ,27 16 ,18 ,16 ,18 ,29 ,67 ,88 0 
Conchali& ,139195 ,470 ,337.7 ,208 ,149.4 ,208 ,149.4 ,0 0 ,1 ,14 12 ,17 ,31 ,61 ,105 ,157 ,72 0 
Curacavi& ,36430 ,35 ,96.1 ,15 ,41.2 ,15 ,41.2 ,0 0 ,1 ,2 4 ,4 ,4 ,0 ,4 ,10 ,6 0 
El Bosque ,172000 ,439 ,255.2 ,200 ,116.3 ,200 ,116.3 ,0 0 ,2 ,14 21 ,27 ,45 ,44 ,78 ,150 ,58 0 
El Monte ,40014 ,29 ,72.5 ,9 ,22.5 ,9 ,22.5 ,0 0 ,0 ,1 1 ,6 ,4 ,0 ,7 ,10 ,0 0 
Estacion Central& ,206792 ,679 ,328.3 ,303 ,146.5 ,303 ,146.5 ,0 1 ,2 ,11 27 ,33 ,38 ,75 ,162 ,253 ,77 0 
Huechuraba ,112528 ,263 ,233.7 ,121 ,107.5 ,120 ,106.6 ,0 0 ,4 ,19 7 ,16 ,17 ,28 ,37 ,93 ,42 0 
Independencia& ,142065 ,992 ,698.3 ,441 ,310.4 ,440 ,309.7 ,1 1 ,3 ,14 9 ,22 ,43 ,136 ,278 ,350 ,135 0 
Isla de Maipo ,40171 ,20 ,49.8 ,6 ,14.9 ,6 ,14.9 ,0 0 ,0 ,2 1 ,6 ,2 ,0 ,3 ,5 ,1 0 
La Cisterna& ,100434 ,251 ,249.9 ,114 ,113.5 ,114 ,113.5 ,0 0 ,0 ,10 11 ,15 ,18 ,23 ,53 ,83 ,38 0 
La Florida& ,402433 ,1071 ,266.1 ,561 ,139.4 ,554 ,137.7 ,0 2 ,12 ,28 57 ,57 ,62 ,91 ,164 ,370 ,228 0 
La Granja& ,122557 ,348 ,283.9 ,185 ,151.0 ,184 ,150.1 ,0 0 ,1 ,6 13 ,28 ,20 ,15 ,60 ,148 ,57 0 
La Pintana& ,189335 ,561 ,296.3 ,238 ,125.7 ,237 ,125.2 ,0 0 ,3 ,6 17 ,27 ,44 ,80 ,129 ,174 ,81 0 
La Reina ,100252 ,195 ,194.5 ,87 ,86.8 ,87 ,86.8 ,1 0 ,12 ,14 11 ,14 ,7 ,10 ,36 ,58 ,32 0 
Lampa ,126898 ,197 ,155.2 ,86 ,67.8 ,86 ,67.8 ,0 0 ,0 ,8 13 ,14 ,11 ,17 ,38 ,65 ,31 0 
