LasCondes&,330759,738,223.1,291,88.0,287,86.8,01859,12166,37,2924,62,185,1360
Lo Barnechea ,124076 ,422 ,340.1 ,171 ,137.8 ,171 ,137.8 ,0 2 14 ,52 27 ,16 ,34 34 ,63 ,114 ,65 0 
Lo Espejo ,103865 ,258 ,248.4 ,117 ,112.6 ,117 ,112.6 ,0 0 1 ,4 7 ,22 ,26 21 ,52 ,89 ,36 0 
Lo Prado& ,104403 ,329 ,315.1 ,138 ,132.2 ,138 ,132.2 ,0 1 2 ,5 19 ,12 ,20 29 ,93 ,107 ,41 0 
Macul& ,134635 ,336 ,249.6 ,181 ,134.4 ,180 ,133.7 ,0 1 3 ,13 21 ,17 ,12 15 ,65 ,130 ,59 0 
Maipu& ,578605 ,844 ,145.9 ,324 ,56.0 ,323 ,55.8 ,0 0 13 ,46 66 ,75 ,74 110 ,123 ,226 ,111 0 
Maria Pinto ,14926 ,3 ,20.1 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,0 0 ,0 ,1 0 ,2 ,0 ,0 0 
Melipilla ,141612 ,136 ,96.0 ,52 ,36.7 ,52 ,36.7 ,0 1 1 ,4 5 ,5 ,8 21 ,30 ,50 ,11 0 
Nunoa& ,250192 ,480 ,191.9 ,142 ,56.8 ,142 ,56.8 ,1 1 26 ,52 37 ,46 ,45 62 ,62 ,102 ,46 0 
Padre Hurtado ,74188 ,96 ,129.4 ,37 ,49.9 ,37 ,49.9 ,0 1 0 ,5 9 ,5 ,11 7 ,15 ,33 ,10 0 
Paine ,82766 ,56 ,67.7 ,35 ,42.3 ,35 ,42.3 ,0 1 1 ,2 0 ,4 ,4 3 ,5 ,20 ,16 0 
Pedro Aguirre Cerda ,107803 ,349 ,323.7 ,147 ,136.4 ,147 ,136.4 ,0 0 3 ,4 14 ,22 ,44 32 ,70 ,115 ,45 0 
Penaflor& ,101058 ,102 ,100.9 ,29 ,28.7 ,29 ,28.7 ,0 1 4 ,3 9 ,5 ,7 14 ,24 ,26 ,9 0 
Penalolen& ,266798 ,779 ,292.0 ,436 ,163.4 ,436 ,163.4 ,0 3 9 ,25 33 ,37 ,50 62 ,108 ,268 ,184 0 
Pirque& ,30433 ,58 ,190.6 ,25 ,82.1 ,25 ,82.1 ,0 0 3 ,1 3 ,1 ,5 3 ,15 ,22 ,5 0 
Providencia& ,157749 ,372 ,235.8 ,138 ,87.5 ,138 ,87.5 ,0 3 29 ,62 20 ,21 ,30 31 ,31 ,76 ,69 0 
Pudahuel& ,253139 ,491 ,194.0 ,209 ,82.6 ,208 ,82.2 ,1 1 2 ,19 22 ,30 ,35 37 ,118 ,161 ,65 0 
Puente Alto& ,645909 ,1658 ,256.7 ,654 ,101.3 ,647 ,100.2 ,1 2 7 ,55 95 ,159 ,171 226 ,243 ,503 ,196 0 
Quilicura& ,254694 ,826 ,324.3 ,290 ,113.9 ,287 ,112.7 ,0 4 3 ,20 24 ,42 ,40 127 ,240 ,251 ,75 0 
Quinta Normal& ,136368 ,459 ,336.6 ,187 ,137.1 ,187 ,137.1 ,0 2 4 ,13 24 ,35 ,47 44 ,88 ,160 ,42 0 
Recoleta& ,190075 ,1028 ,540.8 ,514 ,270.4 ,514 ,270.4 ,0 0 5 ,15 18 ,31 ,46 98 ,249 ,405 ,161 0 
Renca& ,160847 ,418 ,259.9 ,181 ,112.5 ,181 ,112.5 ,0 0 4 ,7 11 ,7 ,30 59 ,99 ,159 ,42 0 
San Bernardo& ,334836 ,773 ,230.9 ,303 ,90.5 ,301 ,89.9 ,1 2 6 ,20 35 ,65 ,71 117 ,138 ,234 ,84 0 
San Joaquin& ,103485 ,475 ,459.0 ,267 ,258.0 ,267 ,258.0 ,0 0 1 ,14 22 ,14 ,36 38 ,72 ,170 ,108 0 
San Jose de Maipo ,18644 ,42 ,225.3 ,30 ,160.9 ,29 ,155.5 ,0 0 1 ,1 1 ,2 ,1 1 ,4 ,17 ,14 0 
San Miguel& ,133059 ,405 ,304.4 ,174 ,130.8 ,174 ,130.8 ,0 0 3 ,24 21 ,24 ,43 42 ,66 ,116 ,66 0 
San Pedro& ,11953 ,15 ,125.5 ,3 ,25.1 ,3 ,25.1 ,0 0 0 ,0 0 ,0 ,0 2 ,9 ,4 ,0 0 
San Ramon& ,86510 ,381 ,440.4 ,199 ,230.0 ,198 ,228.9 ,0 0 1 ,2 11 ,8 ,11 40 ,86 ,158 ,64 0 
