,,,,,,Numerode,CasossegunFecha,deIniciode,Sintomas,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE 13 14 ,SE 15 ,SE SE SE SE SE 16 17 18 19 20 
Cauquenes ,44143 ,14 ,31.7 ,1 ,2.3 ,1 ,2.3 ,0 0 0 0 ,2 3 ,1 ,5 2 1 0 0 
Chanco ,9331 ,3 ,32.2 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,1 0 ,0 ,1 1 0 0 0 
Colbun ,22565 ,9 ,39.9 ,3 ,13.3 ,3 ,13.3 ,0 0 0 0 ,3 3 ,0 ,0 0 0 3 0 
Constitucion ,50348 ,23 ,45.7 ,1 ,2.0 ,1 ,2.0 ,0 0 0 0 ,3 3 ,5 ,7 4 1 0 0 
Curepto ,9426 ,9 ,95.5 ,1 ,10.6 ,1 ,10.6 ,0 0 0 0 ,0 3 ,2 ,3 0 1 0 0 
Curico ,163626 ,56 ,34.2 ,11 ,6.7 ,11 ,6.7 ,0 1 2 3 ,6 3 ,12 ,9 9 7 4 0 
Empedrado ,4206 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 0 ,0 ,0 0 0 0 0 
Hualane ,10222 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 0 ,0 ,0 0 0 0 0 
Licanten ,6989 ,2 ,28.6 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 1 ,0 ,1 0 0 0 0 
Linares ,101073 ,34 ,33.6 ,7 ,6.9 ,7 ,6.9 ,1 0 0 2 ,5 5 ,4 ,6 3 4 4 0 
Longavi ,32810 ,7 ,21.3 ,3 ,9.1 ,3 ,9.1 ,0 0 0 1 ,0 1 ,1 ,1 0 2 1 0 
Maule ,60000 ,24 ,40.0 ,1 ,1.7 ,1 ,1.7 ,0 0 0 1 ,1 2 ,5 ,12 2 0 1 0 
Molina ,49800 ,9 ,18.1 ,2 ,4.0 ,2 ,4.0 ,0 0 0 1 ,2 0 ,1 ,3 0 0 2 0 
Parral ,44544 ,9 ,20.2 ,0 ,0.0 ,0 ,0.0 ,0 0 0 1 ,3 2 ,2 ,1 0 0 0 0 
Pelarco ,9083 ,8 ,88.1 ,3 ,33.0 ,3 ,33.0 ,0 0 0 0 ,0 0 ,3 ,2 0 2 1 0 
Pelluhue ,8092 ,2 ,24.7 ,0 ,0.0 ,0 ,0.0 ,0 0 0 1 ,0 0 ,1 ,O 0 0 0 0 
Pencahue ,8601 ,3 ,34.9 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 0 ,0 ,3 0 0 0 0 
Rauco ,11248 ,2 ,17.8 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,1 1 ,0 ,0 0 0 0 0 
Retiro ,21071 ,2 ,9.5 ,1 ,4.7 ,1 ,4.7 ,0 0 0 0 ,0 0 ,1 ,0 0 1 0 0 
Rio Claro ,14753 ,9 ,61.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 2 ,0 1 ,1 ,3 2 0 0 0 
