,,,,,,Numero,deCasos,segunFechadeInicio,de,Sintomas,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE 13 ,SE SE 14 15 ,SE 16 ,SE SE SE SE 17 18 19 20 
Angol ,56058 ,118 ,210.5 ,14 ,25.0 ,14 ,25.0 ,0 1 1 3 ,10 ,10 15 ,34 ,27 11 6 0 
Carahue ,25486 ,36 ,141.3 ,2 ,7.8 ,2 ,7.8 ,0 0 0 0 ,3 ,10 9 ,7 ,5 2 0 0 
Cholchol ,12341 ,4 ,32.4 ,0 ,0.0 ,0 ,0.0 ,0 0 0 1 ,2 ,0 0 ,1 ,0 0 0 0 
Collipulli ,26148 ,6 ,22.9 ,0 ,0.0 ,0 ,0.0 ,0 0 O 0 ,0 ,1 1 ,1 ,3 0 0 0 
Cunco ,18055 ,6 ,33.2 ,1 ,5.5 ,1 ,5.5 ,0 0 0 0 ,3 ,2 0 ,0 ,0 0 1 0 
Curacautin ,18178 ,7 ,38.5 ,1 ,5.5 ,1 ,5.5 ,0 0 0 2 ,0 ,2 0 ,0 ,2 0 1 0 
Curarrehue ,7802 ,4 ,51.3 ,0 ,0.0 ,0 ,0.0 ,0 0 1 1 ,2 ,0 0 ,0 ,0 0 0 0 
Ercilla ,8458 ,11 ,130.1 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 ,4 1 ,4 ,1 1 0 0 
Freire ,25446 ,9 ,35.4 ,2 ,7.9 ,2 ,7.9 ,0 0 0 2 ,3 ,0 0 ,2 ,0 0 2 0 
Galvarino ,12633 ,4 ,31.7 ,1 ,7.9 ,1 ,7.9 ,0 0 0 1 ,1 ,1 0 ,0 ,0 1 0 0 
Gorbea ,15148 ,13 ,85.8 ,1 ,6.6 ,1 ,6.6 ,0 0 1 4 ,4 ,1 0 ,2 ,0 0 1 0 
Lautaro ,40746 ,53 ,130.1 ,15 ,36.8 ,15 ,36.8 ,1 0 0 6 ,3 ,14 6 ,6 ,2 7 8 0 
Loncoche8 ,24739 ,20 ,80.8 ,3 ,12.1 ,3 ,12.1 ,0 0 0 2 ,3 ,2 4 ,3 ,3 1 2 0 
Lonquimay ,11049 ,9 ,81.5 ,7 ,63.4 ,7 ,63.4 ,0 0 0 0 ,0 ,0 0 ,0 ,2 4 3 0 
Los Sauces ,7517 ,1 ,13.3 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 ,0 0 ,1 ,0 0 0 0 
Lumaco ,10050 ,7 ,69.7 ,1 ,10.0 ,1 ,10.0 ,0 0 0 0 ,0 ,0 0 ,4 ,2 1 0 0 
Melipeuco ,6265 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 ,0 0 ,0 ,0 0 0 0 
Nueva Imperial ,33777 ,44 ,130.3 ,4 ,11.8 ,4 ,11.8 ,0 0 0 5 ,9 ,3 12 ,7 ,3 1 4 0 
Padre Las Casas& ,82110 ,101 ,123.0 ,1 ,1.2 ,1 ,1.2 ,0 0 0 11 ,28 ,21 15 ,15 ,10 0 1 0 
Perquenco ,7223 ,5 ,69.2 ,0 ,0.0 ,0 ,0.0 ,0 0 0 1 ,1 ,0 0 ,3 ,0 0 0 0 
Pitrufquen ,26096 ,18 ,69.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 4 ,8 ,4 0 ,2 ,0 0 0 0 
