Pucon,29782,16,53.7,1,3.4,1,3.4,0013,0,4,31,3010
Puren ,12188 ,7 ,57.4 ,2 ,16.4 ,2 ,16.4 ,0 0 0 0 ,2 ,0 ,0 2 ,1 2 0 0 
Renaico ,10833 ,12 ,110.8 ,6 ,55.4 ,6 ,55.4 ,0 O 0 0 ,0 ,1 ,3 1 ,1 4 2 0 
Saavedra ,12793 ,52 ,406.5 ,18 ,140.7 ,18 ,140.7 ,0 0 1 1 ,0 ,1 ,5 8 ,17 12 7 0 
Temuco& ,302931 ,734 ,242.3 ,50 ,16.5 ,48 ,15.8 ,0 4 26 155 ,176 ,132 ,108 58 ,24 22 29 0 
Teodoro Schmidt ,15786 ,5 ,31.7 ,0 ,0.0 ,0 ,0.0 ,0 0 0 1 ,2 ,0 ,1 1 ,0 0 0 0 
Tolten ,10055 ,8 ,79.6 ,0 ,0.0 ,0 ,0.0 ,0 0 0 4 ,2 ,2 ,0 0 ,0 0 0 0 
Traiguen ,19314 ,2 ,10.4 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 ,1 ,0 1 ,0 0 0 0 
Victoria ,35467 ,78 ,219.9 ,6 ,16.9 ,6 ,16.9 ,0 0 1 2 ,9 ,2 ,3 28 ,21 11 1 0 
Vilcun ,30766 ,50 ,162.5 ,3 ,9.8 ,3 ,9.8 ,0 0 0 6 ,11 ,14 ,7 3 ,5 4 0 0 
Villarrica ,59103 ,22 ,37.2 ,2 ,3.4 ,2 ,3.4 ,0 0 0 2 ,10 ,6 ,1 0 ,1 0 2 0 
Total ,1014343 ,1462 ,144.1 ,141 ,13.9 ,139 ,13.7 ,1 5 32 217 ,292 ,238 ,194 195 ,133 84 71 0 
