,,Hombre,,,Mujer,,,Total,
Grupo edad ,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 04 anos ,334 ,2.1 ,55.1 ,321 ,2.3 ,55.0 ,655 ,2.2 ,55.0 
05 09 anos ,244 ,1.5 ,37.4 ,231 ,1.6 ,36.7 ,475 ,1.6 ,37.0 
10 14 anos ,294 ,1.8 ,45.7 ,300 ,2.1 ,48.3 ,594 ,2.0 ,46.9 
15 19 anos ,453 ,2.8 ,70.7 ,490 ,3.5 ,79.1 ,943 ,3.1 ,74.8 
20 24 anos ,1219 ,7.6 ,166.3 ,1155 ,8.2 ,162.6 ,2374 ,7.9 ,164.5 
25 29 anos ,2058 ,12.9 ,245.8 ,1854 ,13.2 ,228.4 ,3912 ,13.0 ,237.2 
30 34 anos ,2102 ,13.2 ,259.4 ,1773 ,12.6 ,225.6 ,3875 ,12.9 ,242.8 
35 39 anos ,1766 ,11.1 ,243.5 ,1453 ,10.3 ,204.7 ,3219 ,10.7 ,224.3 
40 44 anos ,1481 ,9.3 ,219.3 ,1247 ,8.8 ,185.6 ,2728 ,9.1 ,202.5 
45 49 anos ,1357 ,8.5 ,215.0 ,1134 ,8.0 ,177.1 ,2491 ,8.3 ,195.9 
50 54 anos ,1242 ,7.8 ,206.6 ,1012 ,7.2 ,162.3 ,2254 ,7.5 ,184.1 
55 59 anos ,1115 ,7.0 ,201.0 ,945 ,6.7 ,160.0 ,2060 ,6.9 ,179.8 
60 64 anos ,840 ,5.3 ,178.3 ,650 ,4.6 ,125.4 ,1490 ,5.0 ,150.6 
65 69 anos ,530 ,3.3 ,139.9 ,450 ,3.2 ,103.3 ,980 ,3.3 ,120.3 
70 74 anos ,355 ,2.2 ,134.4 ,340 ,2.4 ,106.5 ,695 ,2.3 ,119.1 
75 79 anos ,255 ,1.6 ,144.6 ,258 ,1.8 ,108.7 ,513 ,1.7 ,124.0 
80 y mas anos ,304 ,1.9 ,154.7 ,485 ,3.4 ,138.4 ,789 ,2.6 ,144.3 
,,,,,,,,,
,,,,,,,,,
