,,,,,,Numerode,CasossegunFecha,de,Iniciode,Sintomas,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE 9 10 ,SE SE 11 12 ,SE SE SE 13 14 15 ,SE SE SE SE SE 16 17 18 19 20 
Alto del Carmen ,5729 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 ,0 0 ,0 0 0 ,0 0 0 0 0 
Caldera ,19426 ,3 ,15.4 ,3 ,15.4 ,3 ,15.4 ,0 0 ,0 0 ,0 0 0 ,0 0 2 1 0 
Chanaral ,13164 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 ,0 0 ,0 0 0 ,0 0 0 0 0 
Copiapo ,171766 ,67 ,39.0 ,43 ,25.0 ,43 ,25.0 ,0 0 ,1 O ,2 1 4 ,0 12 26 21 0 
Diego de Almagro ,14358 ,3 ,20.9 ,2 ,13.9 ,2 ,13.9 ,0 0 ,0 0 ,1 0 0 ,0 0 1 1 0 
Freirina ,7681 ,1 ,13.0 ,0 ,0.0 ,0 ,0.0 ,0 0 ,0 0 ,0 0 0 ,1 0 0 0 0 
Huasco ,11264 ,1 ,8.9 ,1 ,8.9 ,1 ,8.9 ,0 0 ,0 0 ,0 0 0 ,0 0 1 0 0 
Tierra Amarilla ,14312 ,19 ,132.8 ,12 ,83.8 ,12 ,83.8 ,0 0 ,0 0 ,0 2 3 ,0 2 5 7 0 
Vallenar& ,57009 ,41 ,71.9 ,19 ,33.3 ,19 ,33.3 ,0 0 ,0 0 ,0 0 1 ,9 10 9 12 0 
Total ,314709 ,135 ,42.9 ,80 ,25.4 ,80 ,25.4 ,0 0 ,1 0 ,3 3 8 ,10 24 44 42 0 
