,,Nde,casos,,,
Region ,Poblacion ,Acumulados ,Fallecidos ,Tasa incidencia acumulada ,Tasa mortalidad acumulada ,Tasa letalidad 
Arica y Parinacota ,252110 ,398 ,7 ,157.9 ,2.8 ,1.8 
Tarapaca ,382773 ,1056 ,4 ,275.9 ,1.0 ,0.4 
Antofagasta ,691854 ,1589 ,14 ,229.7 ,2.0 ,0.9 
Atacama ,314709 ,157 ,O ,49.9 ,0.0 ,0.0 
Coquimbo ,836096 ,212 ,2 ,25.4 ,0.2 ,0.9 
Valparaiso ,1960170 ,1553 ,30 ,79.2 ,1.5 ,1.9 
Metropolitana ,8125072 ,34451 ,294 ,424.0 ,3.6 ,0.9 
O'Higgins ,991063 ,418 ,6 ,42.2 ,0.6 ,1.4 
Maule ,1131939 ,602 ,14 ,53.2 ,1.2 ,2.3 
Nuble ,511551 ,985 ,21 ,192.6 ,4.1 ,2.1 
Biobio ,1663696 ,1144 ,9 ,68.8 ,0.5 ,0.8 
Araucania ,1014343 ,1639 ,44 ,161.6 ,4.3 ,2.7 
LOs Rios ,405835 ,224 ,6 ,55.2 ,1.5 ,2.7 
Los Lagos ,891440 ,652 ,11 ,73.1 ,1.2 ,1.7 
Aisen ,107297 ,8 ,O ,7.5 ,0.0 ,0.0 
Magallanes ,178362 ,971 ,16 ,544.4 ,9.0 ,1.6 
Total pais ,19458310 ,46059 ,478 ,236.7 ,2.5 ,1.0 
