,,,,,,Numero,deCasossegun,FechadeInicio,deSintomas
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE 12 13 
Bulnes ,22607 ,132 ,583.9 ,56 ,247.7 ,55 ,243.3 ,,
Chillan& ,198624 ,493 ,248.2 ,66 ,33.2 ,66 ,33.2 ,,
Chillan Viejo ,33827 ,67 ,198.1 ,10 ,29.6 ,10 ,29.6 ,0 O 5 ,7 19 
Cobquecura ,5275 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,,
Coelemu ,16845 ,5 ,29.7 ,1 ,5.9 ,1 ,5.9 ,O O O ,O 2 
Coihueco8 ,28375 ,50 ,176.2 ,7 ,24.7 ,7 ,24.7 ,,
EI Carmen ,12334 ,5 ,40.5 ,2 ,16.2 ,2 ,16.2 ,0 O 0 ,2 0 
Ninhue ,5414 ,5 ,92.4 ,1 ,18.5 ,1 ,18.5 ,O O O ,O O 
Niquen ,11567 ,3 ,25.9 ,0 ,0.0 ,O ,0.0 ,0 O 0 ,0 0 
Pemuco ,8639 ,10 ,115.8 ,4 ,46.3 ,4 ,46.3 ,0 O 0 ,1 0 
Pinto ,11880 ,14 ,117.8 ,2 ,16.8 ,2 ,16.8 ,O O O ,2 3 
Portezuelo ,4940 ,4 ,81.0 ,4 ,81.0 ,4 ,81.0 ,0 O O ,O 0 
Quillon ,18777 ,39 ,207.7 ,7 ,37.3 ,7 ,37.3 ,O O 1 ,8 9 
Quirihue ,12192 ,16 ,131.2 ,10 ,82.0 ,10 ,82.0 ,O O O ,O 1 
Ranquil ,6261 ,10 ,159.7 ,O ,0.0 ,O ,0.0 ,,
San Carlos ,56252 ,48 ,85.3 ,10 ,17.8 ,10 ,17.8 ,O O 2 ,6 10 
San Fabian ,4654 ,8 ,171.9 ,O ,0.0 ,O ,0.0 ,O O O ,3 3 
San Ignacio ,16624 ,14 ,84.2 ,3 ,18.0 ,3 ,18.0 ,0 0 O ,2 2 
San Nicolas ,12172 ,17 ,139.7 ,2 ,16.4 ,2 ,16.4 ,,
Treguaco ,5696 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,,
Yungay& ,18596 ,58 ,311.9 ,3 ,16.1 ,3 ,16.1 ,O O O ,3 16 
