,,,SE,SESESESE,SE,SE
,,,14 ,15 16 17 18 ,19 ,20 
O O O ,10 ,27 ,10 ,7 7 5 9 ,26 ,31 
O 1 27 ,117 ,116 ,76 ,33 25 17 14 ,21 ,46 
,,,7 ,14 3 1 1 ,2 ,8 
0 O O ,O ,O ,O ,O O 0 0 ,O ,0 
,,,2 ,O O 0 0 ,O ,1 
O O 0 ,3 ,3 ,4 ,6 12 12 3 ,1 ,6 
,,,1 ,O 0 0 0 ,1 ,1 
,,,2 ,O 2 0 0 ,O ,1 
,,,1 ,2 0 0 0 ,O ,O 
,,,4 ,1 O 0 0 ,3 ,1 
,,,5 ,1 1 0 0 ,0 ,2 
,,,O ,O O 0 0 ,1 ,3 
,,,8 ,1 O 3 2 ,2 ,5 
,,,2 ,O 1 0 1 ,7 ,4 
0 O O ,1 ,3 ,6 ,0 O 0 0 ,O ,O 
,,,9 ,2 3 3 3 ,6 ,4 
,,,1 ,O 1 0 0 ,O ,O 
,,,1 ,0 1 3 2 ,O ,3 
0 O O ,2 ,5 ,4 ,4 O O O ,1 ,1 
0 O O ,O ,O ,O ,O O 0 0 ,O ,0 
,,,21 ,3 4 6 2 ,2 ,1 
