Penco,49865,23,46.1,3,6.0,3,6.0,0001,3338O21,2
Quilaco ,4179 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,O 0 O 0 ,0 0 0 0 O 0 0 ,0 
Quilleco ,10032 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 O ,0 0 O O O 0 0 ,0 
San Pedro de la Paz ,145906 ,119 ,81.6 ,13 ,8.9 ,13 ,8.9 ,0 0 6 34 ,17 24 8 11 3 2 11 ,3 
San Rosendo ,3611 ,2 ,55.4 ,2 ,55.4 ,2 ,55.4 ,0 0 O 0 ,0 0 0 0 0 0 1 ,1 
Santa Barbara ,14592 ,13 ,89.1 ,10 ,68.5 ,10 ,68.5 ,0 0 O O ,2 O O 0 O 0 3 ,8 
Santa Juana ,14779 ,2 ,13.5 ,0 ,0.0 ,0 ,0.0 ,O 0 O O ,O 1 O O 1 O 0 ,0 
Talcahuano ,158345 ,143 ,90.3 ,24 ,15.2 ,24 ,15.2 ,O 0 1 16 ,16 17 14 14 20 17 18 ,10 
Tirua ,11019 ,4 ,36.3 ,0 ,0.0 ,0 ,0.0 ,O 0 0 1 ,2 1 0 0 0 0 0 ,O 
Tome ,58729 ,71 ,120.9 ,17 ,28.9 ,17 ,28.9 ,0 0 O 9 ,11 12 7 9 1 4 14 ,4 
Tucapel ,15205 ,4 ,26.3 ,3 ,19.7 ,3 ,19.7 ,0 0 0 0 ,0 1 0 0 0 0 0 ,3 
Yumbe ,22132 ,14 ,63.3 ,3 ,13.6 ,3 ,13.6 ,0 0 0 0 ,5 0 1 1 1 2 4 ,O 
Total ,1663696 ,1145 ,,308 ,,308 ,,1 2 28 138 ,157 149 99 99 65 80 192 ,135 
