,,NumerodeCasossegunFechadeIniciodeSintomas
SEREMI de Notificacion ,Residencia Desconocida ,SE SE SE SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 19 20 21 
SEREMI De Arica y Parinacota ,O ,O O 0 O 0 0 0 0 0 0 0 0 O 
SEREMI De Tarapaca ,0 ,O 0 0 O 0 0 0 0 0 0 0 0 O 
SEREMI De Antofagasta ,O ,O O 0 O 0 0 0 0 O 0 0 O O 
SEREMI De Atacama ,O ,O O 0 O O O O 0 0 O O O O 
SEREMI De Coquimbo ,O ,O O O 0 O O O O 0 O 0 O O 
SEREMI De Valparaiso ,1 ,O 0 0 O 1 0 0 0 0 O 0 O O 
SEREMI Metropolitana de Santiago ,5 ,O O 0 O 0 0 0 1 1 2 1 0 O 
SEREMI Del Libertador Gral B OHiggins ,O ,O O O O O O O O 0 0 0 0 O 
SEREMI Del Maule ,O ,O O 0 O 0 0 O 0 0 0 0 0 O 
SEREMI Del Nuble ,O ,O 0 0 0 0 0 0 0 0 0 0 0 O 
SEREMI Del Biobio ,0 ,O O 0 0 0 0 0 0 0 O 0 0 O 
SEREMI De La Araucania ,O ,O O 0 O O 0 O O 0 O 0 O O 
SEREMI De Los Rios ,O ,O O 0 0 0 0 O O 0 0 O 0 O 
SEREMI De Los Lagos ,21 ,O O 9 10 1 1 0 0 0 0 0 0 O 
SEREMI De Aisen de General Carlos ibanez del Campo ,1 ,O O 1 O 0 0 O 0 0 0 0 O O 
SEREMI De Magallanes y la Antartica Chilena ,O ,O O 0 O O 0 O 0 0 O O O O 
Total pais ,28 ,0 0 10 10 2 1 0 1 1 2 1 0 0 
