,,,,,,,Numero,deCasossegun,Fechade,Inicio,de,Sintomas,,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE 12 13 ,SE 14 ,SE 15 ,SE 16 ,SE 17 ,SE 18 ,SE 19 ,SE 20 ,SE SE 21 22 
Alhue ,7405 ,3 ,40.5 ,1 ,13.5 ,1 ,13.5 ,0 0 O ,0 0 ,O ,0 ,0 ,O ,O ,2 ,0 ,1 O 
Buin& ,109641 ,432 ,394.0 ,163 ,148.7 ,162 ,147.8 ,O 0 O ,5 17 ,8 ,14 ,17 ,18 ,55 ,117 ,142 ,39 0 
Calera de Tango& ,28525 ,66 ,231.4 ,29 ,101.7 ,29 ,101.7 ,O O O ,4 4 ,1 ,1 ,5 ,1 ,4 ,15 ,18 ,13 0 
Cerrillose ,88956 ,758 ,852.1 ,211 ,237.2 ,211 ,237.2 ,O 1 2 ,4 10 ,13 ,19 ,20 ,63 ,205 ,171 ,198 ,51 1 
Cerro Navia& ,142465 ,993 ,697.0 ,177 ,124.2 ,173 ,121.4 ,O 0 9 ,12 12 ,13 ,38 ,42 ,82 ,195 ,366 ,179 ,45 0 
Colina& ,180353 ,999 ,553.9 ,396 ,219.6 ,393 ,217.9 ,1 4 6 ,27 15 ,19 ,16 ,19 ,32 ,120 ,293 ,333 ,113 1 
Conchali& ,139195 ,1370 ,984.2 ,324 ,232.8 ,320 ,229.9 ,O 0 1 ,16 12 ,18 ,34 ,67 ,119 ,298 ,399 ,328 ,78 O 
Curacavi& ,36430 ,149 ,409.0 ,63 ,172.9 ,62 ,170.2 ,O 0 1 ,2 4 ,4 ,4 ,O ,4 ,17 ,39 ,51 ,23 O 
EI Bosque& ,172000 ,1164 ,676.7 ,352 ,204.7 ,352 ,204.7 ,O 0 2 ,14 21 ,28 ,46 ,44 ,79 ,193 ,331 ,348 ,57 1 
EI Monte& ,40014 ,91 ,227.4 ,24 ,60.0 ,23 ,57.5 ,O 0 O ,1 1 ,6 ,4 ,1 ,8 ,12 ,30 ,18 ,10 0 
Estacion Central& ,206792 ,1700 ,822.1 ,448 ,216.6 ,446 ,215.7 ,0 2 2 ,11 27 ,33 ,39 ,78 ,163 ,332 ,478 ,441 ,93 1 
Huechuraba& ,112528 ,840 ,746.5 ,226 ,200.8 ,225 ,200.0 ,O 0 4 ,19 7 ,16 ,17 ,29 ,45 ,168 ,259 ,232 ,43 1 
Independencia& ,142065 ,1984 ,1396.5 ,405 ,285.1 ,403 ,283.7 ,0 1 3 ,14 9 ,23 ,45 ,141 ,290 ,480 ,514 ,345 ,119 0 
Isla de Maipo& ,40171 ,46 ,114.5 ,10 ,24.9 ,10 ,24.9 ,0 0 O ,2 1 ,6 ,2 ,O ,3 ,7 ,14 ,7 ,4 0 
La Cisterna& ,100434 ,719 ,715.9 ,221 ,220.0 ,221 ,220.0 ,O 0 0 ,10 11 ,17 ,19 ,24 ,60 ,113 ,206 ,229 ,30 0 
La Florida& ,402433 ,3256 ,809.1 ,1236 ,307.1 ,1226 ,304.6 ,O 2 12 ,28 57 ,59 ,67 ,94 ,173 ,502 ,878 ,1084 ,297 3 
La Granja& ,122557 ,1769 ,1443.4 ,791 ,645.4 ,789 ,643.8 ,0 0 1 ,7 13 ,30 ,20 ,17 ,64 ,233 ,503 ,691 ,190 0 
La Pintana& ,189335 ,1804 ,952.8 ,569 ,300.5 ,568 ,300.0 ,O 0 3 ,8 17 ,31 ,45 ,85 ,141 ,266 ,538 ,552 ,118 0 
La Reina& ,100252 ,485 ,483.8 ,181 ,180.5 ,179 ,178.6 ,0 0 12 ,14 12 ,16 ,7 ,11 ,36 ,67 ,111 ,145 ,54 0 
Lampa& ,126898 ,660 ,520.1 ,221 ,174.2 ,221 ,174.2 ,0 O O ,8 13 ,14 ,12 ,18 ,40 ,102 ,212 ,169 ,71 1 
Las Condes& ,330759 ,1765 ,533.6 ,644 ,194.7 ,641 ,193.8 ,0 19 59 ,121 65 ,37 ,33 ,27 ,65 ,210 ,415 ,515 ,194 4 
Lo Barnechea& ,124076 ,892 ,718.9 ,274 ,220.8 ,274 ,220.8 ,O 2 14 ,52 28 ,17 ,35 ,35 ,63 ,127 ,212 ,235 ,70 2 
