,,,,,Numero,deCasos,segunFechade,IniciodeSintomas,,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE 13 ,SE SE 14 15 ,SE SE SE SE 16 17 18 19 ,SE 20 ,SE SE 21 22 
Alto Biobio ,6775 ,17 ,250.9 ,17 ,250.9 ,17 ,250.9 ,0 0 0 0 ,0 ,0 0 ,0 0 0 0 ,6 ,11 0 
Antuco ,4306 ,4 ,92.9 ,2 ,46.4 ,2 ,46.4 ,O O O O ,O ,O O ,O O O 2 ,2 ,O O 
Arauco ,38679 ,34 ,87.9 ,18 ,46.5 ,18 ,46.5 ,O O 1 2 ,2 ,1 O ,O O 5 4 ,11 ,8 O 
Cabrero ,30725 ,26 ,84.6 ,3 ,9.8 ,3 ,9.8 ,0 O 0 1 ,0 ,4 3 ,7 1 3 4 ,2 ,1 O 
Canete ,37003 ,9 ,24.3 ,9 ,24.3 ,9 ,24.3 ,0 O 0 0 ,O ,0 O ,0 0 0 0 ,1 ,8 O 
Chiguayante ,91180 ,88 ,96.5 ,6 ,6.6 ,6 ,6.6 ,O 0 5 5 ,9 ,16 11 ,10 11 8 6 ,7 ,0 O 
Concepcion ,238092 ,236 ,99.1 ,60 ,25.2 ,59 ,24.8 ,1 1 6 28 ,28 ,22 21 ,18 14 18 18 ,17 ,44 O 
Contulmo ,6330 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,O O 0 O ,O ,0 O ,O O 0 O ,O ,O O 
Coronel ,125829 ,66 ,52.5 ,25 ,19.9 ,25 ,19.9 ,O O 1 6 ,6 ,4 1 ,O 5 2 14 ,14 ,13 O 
Curanilahue ,33892 ,5 ,14.8 ,O ,0.0 ,O ,0.0 ,O O O 1 ,O ,O O ,O O 1 3 ,O ,O O 
Florida ,11841 ,4 ,33.8 ,0 ,0.0 ,0 ,0.0 ,O O 0 0 ,2 ,1 O ,0 O 0 1 ,O ,0 O 
Hualpen ,97273 ,146 ,150.1 ,14 ,14.4 ,14 ,14.4 ,O O 3 24 ,33 ,27 17 ,8 2 5 11 ,9 ,7 O 
Hualqui ,26201 ,33 ,125.9 ,11 ,42.0 ,11 ,42.0 ,O O 1 1 ,2 ,3 4 ,9 O O 2 ,4 ,7 O 
Laja ,23873 ,57 ,238.8 ,25 ,104.7 ,25 ,104.7 ,O 1 1 0 ,3 ,1 1 ,1 5 1 17 ,20 ,6 O 
Lebu ,27100 ,2 ,7.4 ,0 ,0.0 ,0 ,0.0 ,O O 0 0 ,O ,0 O ,0 O 1 1 ,0 ,0 O 
Los Alamos ,22524 ,2 ,8.9 ,1 ,4.4 ,1 ,4.4 ,O O O O ,O ,O 1 ,O O O O ,1 ,O O 
Los Angeles ,218515 ,160 ,73.2 ,82 ,37.5 ,82 ,37.5 ,O O 4 7 ,9 ,6 5 ,3 O 3 31 ,55 ,37 O 
Lota ,45750 ,35 ,76.5 ,16 ,35.0 ,16 ,35.0 ,O O O 1 ,O ,0 O ,O O 1 16 ,9 ,7 1 
Mulchen ,31041 ,11 ,35.4 ,O ,0.0 ,0 ,0.0 ,O O O 1 ,4 ,O O ,O O 2 3 ,1 ,0 O 
Nacimiento ,27944 ,32 ,114.5 ,10 ,35.8 ,10 ,35.8 ,O O O 2 ,3 ,3 2 ,O 1 3 8 ,4 ,6 O 
Negrete ,10429 ,27 ,258.9 ,18 ,172.6 ,18 ,172.6 ,O O 0 O ,O ,2 O ,O O O 7 ,12 ,6 O 
Penco ,49865 ,26 ,52.1 ,4 ,8.0 ,4 ,8.0 ,0 O 0 1 ,3 ,3 3 ,8 O 2 1 ,2 ,3 O 
