,,,,,,Numerode,CasossegunFechade,Iniciode,Sintomas,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE SE SE 12 13 14 15 ,SE SE SE 16 17 18 ,SE SE SE SE 19 20 21 22 
Corral ,5447 ,13 ,238.7 ,4 ,73.4 ,4 ,73.4 ,0 O O ,O 0 0 0 ,1 O O ,6 4 2 O 
Futrono ,15261 ,24 ,157.3 ,18 ,117.9 ,18 ,117.9 ,O O O ,1 3 1 O ,O O O ,1 5 13 O 
La Union ,39538 ,42 ,106.2 ,2 ,5.1 ,2 ,5.1 ,0 O 1 ,5 8 4 6 ,9 4 2 ,1 2 0 O 
Lago Ranco ,10292 ,2 ,19.4 ,O ,0.0 ,0 ,0.0 ,0 O 0 ,1 1 0 0 ,0 O 0 ,O O 0 O 
Lanco ,17652 ,9 ,51.0 ,0 ,0.0 ,O ,0.0 ,0 O O ,O 1 2 1 ,2 O 3 ,O 0 0 O 
Los Lagos ,20518 ,2 ,9.7 ,2 ,9.7 ,2 ,9.7 ,O O O ,O O O O ,O O O ,O 1 1 O 
Mafil ,7389 ,3 ,40.6 ,1 ,13.5 ,1 ,13.5 ,0 O 0 ,1 O 0 O ,1 O O ,O 1 0 O 
Mariquina ,23250 ,14 ,60.2 ,3 ,12.9 ,3 ,12.9 ,0 O O ,3 1 4 1 ,0 O O ,2 1 2 O 
Paillaco ,20798 ,21 ,101.0 ,20 ,96.2 ,20 ,96.2 ,0 O O ,1 O 0 O ,0 O O ,O 8 12 O 
Panguipulli ,35991 ,6 ,16.7 ,5 ,13.9 ,5 ,13.9 ,0 O O ,O O 0 0 ,O O 1 ,O 3 2 O 
Rio Bueno ,32925 ,14 ,42.5 ,2 ,6.1 ,2 ,6.1 ,0 O O ,3 1 2 2 ,1 2 1 ,O O 2 O 
Valdivia ,176774 ,154 ,87.1 ,29 ,16.4 ,29 ,16.4 ,0 1 1 ,25 32 25 18 ,8 8 4 ,2 7 23 O 
Total ,405835 ,304 ,74.9 ,86 ,21.2 ,86 ,21.2 ,0 1 2 ,40 47 38 28 ,22 14 11 ,12 32 57 0 
